Max internal event=4
Max clock speed=6
Machine 1 initialized. Clock rate=3
[INTERNAL] SystemTime=1741155911.3687, LogicalClock=1, Info=old_clock=0
[RECEIVE] SystemTime=1741155927.5685, LogicalClock=83, Info=From=2, SenderClock=82, QueueSizeAfter=7, OldLocalClock=82
[RECEIVE] SystemTime=1741155927.9069, LogicalClock=85, Info=From=2, SenderClock=84, QueueSizeAfter=6, OldLocalClock=83
[RECEIVE] SystemTime=1741155928.2448, LogicalClock=87, Info=From=2, SenderClock=86, QueueSizeAfter=6, OldLocalClock=85
[RECEIVE] SystemTime=1741155928.5844, LogicalClock=89, Info=From=2, SenderClock=88, QueueSizeAfter=6, OldLocalClock=87
[RECEIVE] SystemTime=1741155928.9225, LogicalClock=91, Info=From=2, SenderClock=90, QueueSizeAfter=6, OldLocalClock=89
[RECEIVE] SystemTime=1741155929.2616, LogicalClock=93, Info=From=2, SenderClock=92, QueueSizeAfter=6, OldLocalClock=91
[RECEIVE] SystemTime=1741155929.6011, LogicalClock=94, Info=From=2, SenderClock=93, QueueSizeAfter=6, OldLocalClock=93
[RECEIVE] SystemTime=1741155929.9407, LogicalClock=95, Info=From=2, SenderClock=94, QueueSizeAfter=7, OldLocalClock=94
[RECEIVE] SystemTime=1741155930.2791, LogicalClock=98, Info=From=2, SenderClock=97, QueueSizeAfter=6, OldLocalClock=95
[RECEIVE] SystemTime=1741155930.6187, LogicalClock=101, Info=From=2, SenderClock=100, QueueSizeAfter=6, OldLocalClock=98
[RECEIVE] SystemTime=1741155930.9542, LogicalClock=103, Info=From=2, SenderClock=102, QueueSizeAfter=6, OldLocalClock=101
[RECEIVE] SystemTime=1741155931.2895, LogicalClock=104, Info=From=2, SenderClock=103, QueueSizeAfter=5, OldLocalClock=103
[RECEIVE] SystemTime=1741155931.6250, LogicalClock=107, Info=From=2, SenderClock=106, QueueSizeAfter=5, OldLocalClock=104
[RECEIVE] SystemTime=1741155931.9625, LogicalClock=108, Info=From=2, SenderClock=107, QueueSizeAfter=6, OldLocalClock=107
[RECEIVE] SystemTime=1741155932.2989, LogicalClock=109, Info=From=2, SenderClock=108, QueueSizeAfter=5, OldLocalClock=108
[RECEIVE] SystemTime=1741155932.6376, LogicalClock=113, Info=From=2, SenderClock=112, QueueSizeAfter=5, OldLocalClock=109
[RECEIVE] SystemTime=1741155932.9730, LogicalClock=114, Info=From=2, SenderClock=113, QueueSizeAfter=6, OldLocalClock=113
[RECEIVE] SystemTime=1741155933.3109, LogicalClock=118, Info=From=2, SenderClock=117, QueueSizeAfter=7, OldLocalClock=114
[RECEIVE] SystemTime=1741155933.6498, LogicalClock=120, Info=From=2, SenderClock=119, QueueSizeAfter=6, OldLocalClock=118
[RECEIVE] SystemTime=1741155933.9876, LogicalClock=121, Info=From=2, SenderClock=120, QueueSizeAfter=7, OldLocalClock=120
[RECEIVE] SystemTime=1741155934.3272, LogicalClock=124, Info=From=2, SenderClock=123, QueueSizeAfter=8, OldLocalClock=121
[RECEIVE] SystemTime=1741155934.6668, LogicalClock=125, Info=From=2, SenderClock=124, QueueSizeAfter=8, OldLocalClock=124
[RECEIVE] SystemTime=1741155935.0049, LogicalClock=126, Info=From=2, SenderClock=125, QueueSizeAfter=9, OldLocalClock=125
[RECEIVE] SystemTime=1741155935.3421, LogicalClock=127, Info=From=2, SenderClock=126, QueueSizeAfter=10, OldLocalClock=126
[RECEIVE] SystemTime=1741155935.6789, LogicalClock=128, Info=From=2, SenderClock=127, QueueSizeAfter=11, OldLocalClock=127
[RECEIVE] SystemTime=1741155936.0149, LogicalClock=131, Info=From=2, SenderClock=130, QueueSizeAfter=12, OldLocalClock=128
[RECEIVE] SystemTime=1741155936.3521, LogicalClock=132, Info=From=2, SenderClock=131, QueueSizeAfter=11, OldLocalClock=131
[RECEIVE] SystemTime=1741155936.6904, LogicalClock=133, Info=From=2, SenderClock=132, QueueSizeAfter=11, OldLocalClock=132
[RECEIVE] SystemTime=1741155937.0266, LogicalClock=134, Info=From=2, SenderClock=133, QueueSizeAfter=11, OldLocalClock=133
[RECEIVE] SystemTime=1741155937.3624, LogicalClock=136, Info=From=2, SenderClock=135, QueueSizeAfter=11, OldLocalClock=134
[RECEIVE] SystemTime=1741155937.6970, LogicalClock=137, Info=From=2, SenderClock=136, QueueSizeAfter=11, OldLocalClock=136
