Max internal event=4
Max clock speed=6
Machine 3 initialized. Clock rate=3
[SEND] SystemTime=1741155911.3688, LogicalClock=1, Info=To=1
[RECEIVE] SystemTime=1741155911.7062, LogicalClock=2, Info=From=2, SenderClock=0, QueueSizeAfter=1, OldLocalClock=1
[RECEIVE] SystemTime=1741155912.0413, LogicalClock=3, Info=From=2, SenderClock=1, QueueSizeAfter=2, OldLocalClock=2
[RECEIVE] SystemTime=1741155912.3804, LogicalClock=4, Info=From=2, SenderClock=2, QueueSizeAfter=3, OldLocalClock=3
[RECEIVE] SystemTime=1741155912.7191, LogicalClock=5, Info=From=2, SenderClock=3, QueueSizeAfter=4, OldLocalClock=4
[RECEIVE] SystemTime=1741155913.0540, LogicalClock=6, Info=From=2, SenderClock=4, QueueSizeAfter=3, OldLocalClock=5
[RECEIVE] SystemTime=1741155913.3919, LogicalClock=7, Info=From=2, SenderClock=5, QueueSizeAfter=4, OldLocalClock=6
[RECEIVE] SystemTime=1741155913.7294, LogicalClock=8, Info=From=2, SenderClock=6, QueueSizeAfter=5, OldLocalClock=7
[RECEIVE] SystemTime=1741155914.0689, LogicalClock=9, Info=From=2, SenderClock=7, QueueSizeAfter=5, OldLocalClock=8
[RECEIVE] SystemTime=1741155914.4074, LogicalClock=11, Info=From=2, SenderClock=10, QueueSizeAfter=5, OldLocalClock=9
[RECEIVE] SystemTime=1741155914.7460, LogicalClock=12, Info=From=2, SenderClock=11, QueueSizeAfter=5, OldLocalClock=11
[RECEIVE] SystemTime=1741155915.0815, LogicalClock=13, Info=From=2, SenderClock=12, QueueSizeAfter=5, OldLocalClock=12
[RECEIVE] SystemTime=1741155915.4197, LogicalClock=14, Info=From=2, SenderClock=13, QueueSizeAfter=4, OldLocalClock=13
[RECEIVE] SystemTime=1741155915.7568, LogicalClock=16, Info=From=2, SenderClock=15, QueueSizeAfter=4, OldLocalClock=14
[RECEIVE] SystemTime=1741155916.0952, LogicalClock=18, Info=From=2, SenderClock=17, QueueSizeAfter=3, OldLocalClock=16
[RECEIVE] SystemTime=1741155916.4312, LogicalClock=19, Info=From=2, SenderClock=18, QueueSizeAfter=2, OldLocalClock=18
[RECEIVE] SystemTime=1741155916.7725, LogicalClock=21, Info=From=2, SenderClock=20, QueueSizeAfter=3, OldLocalClock=19
[RECEIVE] SystemTime=1741155917.1110, LogicalClock=26, Info=From=2, SenderClock=25, QueueSizeAfter=2, OldLocalClock=21
[RECEIVE] SystemTime=1741155917.4459, LogicalClock=31, Info=From=2, SenderClock=30, QueueSizeAfter=2, OldLocalClock=26
[RECEIVE] SystemTime=1741155917.7850, LogicalClock=32, Info=From=2, SenderClock=31, QueueSizeAfter=2, OldLocalClock=31
[RECEIVE] SystemTime=1741155918.1239, LogicalClock=36, Info=From=2, SenderClock=35, QueueSizeAfter=1, OldLocalClock=32
[RECEIVE] SystemTime=1741155918.4615, LogicalClock=37, Info=From=2, SenderClock=36, QueueSizeAfter=1, OldLocalClock=36
[RECEIVE] SystemTime=1741155918.8008, LogicalClock=41, Info=From=2, SenderClock=40, QueueSizeAfter=1, OldLocalClock=37
[RECEIVE] SystemTime=1741155919.1370, LogicalClock=43, Info=From=2, SenderClock=42, QueueSizeAfter=1, OldLocalClock=41
[RECEIVE] SystemTime=1741155919.4733, LogicalClock=46, Info=From=2, SenderClock=45, QueueSizeAfter=0, OldLocalClock=43
[RECEIVE] SystemTime=1741155919.8123, LogicalClock=49, Info=From=2, SenderClock=48, QueueSizeAfter=0, OldLocalClock=46
[RECEIVE] SystemTime=1741155920.1511, LogicalClock=51, Info=From=2, SenderClock=50, QueueSizeAfter=0, OldLocalClock=49
[RECEIVE] SystemTime=1741155920.4900, LogicalClock=53, Info=From=2, SenderClock=52, QueueSizeAfter=0, OldLocalClock=51
[RECEIVE] SystemTime=1741155920.8289, LogicalClock=55, Info=From=2, SenderClock=54, QueueSizeAfter=1, OldLocalClock=53
[RECEIVE] SystemTime=1741155921.1680, LogicalClock=56, Info=From=2, SenderClock=55, QueueSizeAfter=2, OldLocalClock=55
