Machine 1 initialized. Clock rate=1
[RECEIVE] SystemTime=1740950805.6050, LogicalClock=144, Info=From=3, SenderClock=143, QueueSizeAfter=18, OldLocalClock=142
[RECEIVE] SystemTime=1740950806.6113, LogicalClock=150, Info=From=3, SenderClock=149, QueueSizeAfter=19, OldLocalClock=144
[RECEIVE] SystemTime=1740950807.6171, LogicalClock=151, Info=From=2, SenderClock=149, QueueSizeAfter=18, OldLocalClock=150
[RECEIVE] SystemTime=1740950808.6193, LogicalClock=152, Info=From=3, SenderClock=150, QueueSizeAfter=18, OldLocalClock=151
[RECEIVE] SystemTime=1740950809.6256, LogicalClock=153, Info=From=3, SenderClock=151, QueueSizeAfter=19, OldLocalClock=152
[RECEIVE] SystemTime=1740950810.6291, LogicalClock=154, Info=From=3, SenderClock=153, QueueSizeAfter=19, OldLocalClock=153
[RECEIVE] SystemTime=1740950811.6346, LogicalClock=155, Info=From=2, SenderClock=153, QueueSizeAfter=18, OldLocalClock=154
[RECEIVE] SystemTime=1740950812.6406, LogicalClock=156, Info=From=2, SenderClock=154, QueueSizeAfter=17, OldLocalClock=155
[RECEIVE] SystemTime=1740950813.6432, LogicalClock=158, Info=From=3, SenderClock=157, QueueSizeAfter=17, OldLocalClock=156
[RECEIVE] SystemTime=1740950814.6487, LogicalClock=160, Info=From=3, SenderClock=159, QueueSizeAfter=17, OldLocalClock=158
[RECEIVE] SystemTime=1740950815.6534, LogicalClock=161, Info=From=2, SenderClock=157, QueueSizeAfter=19, OldLocalClock=160
[RECEIVE] SystemTime=1740950816.6562, LogicalClock=162, Info=From=2, SenderClock=159, QueueSizeAfter=20, OldLocalClock=161
[RECEIVE] SystemTime=1740950817.6603, LogicalClock=163, Info=From=2, SenderClock=161, QueueSizeAfter=20, OldLocalClock=162
