Machine 1 initialized. Clock rate=2
[INTERNAL] SystemTime=1740963059.5852, LogicalClock=1, Info=old_clock=0
[INTERNAL] SystemTime=1740963060.0906, LogicalClock=2, Info=old_clock=1
[INTERNAL] SystemTime=1740963060.5968, LogicalClock=3, Info=old_clock=2
[INTERNAL] SystemTime=1740963061.1031, LogicalClock=4, Info=old_clock=3
[INTERNAL] SystemTime=1740963061.6093, LogicalClock=5, Info=old_clock=4
[INTERNAL] SystemTime=1740963062.1150, LogicalClock=6, Info=old_clock=5
[INTERNAL] SystemTime=1740963062.6200, LogicalClock=7, Info=old_clock=6
[INTERNAL] SystemTime=1740963063.1254, LogicalClock=8, Info=old_clock=7
[INTERNAL] SystemTime=1740963063.6296, LogicalClock=9, Info=old_clock=8
[INTERNAL] SystemTime=1740963064.1332, LogicalClock=10, Info=old_clock=9
[INTERNAL] SystemTime=1740963064.6390, LogicalClock=11, Info=old_clock=10
[INTERNAL] SystemTime=1740963065.1410, LogicalClock=12, Info=old_clock=11
[INTERNAL] SystemTime=1740963065.6464, LogicalClock=13, Info=old_clock=12
[INTERNAL] SystemTime=1740963066.1503, LogicalClock=14, Info=old_clock=13
[INTERNAL] SystemTime=1740963066.6559, LogicalClock=15, Info=old_clock=14
[INTERNAL] SystemTime=1740963067.1616, LogicalClock=16, Info=old_clock=15
[INTERNAL] SystemTime=1740963067.6646, LogicalClock=17, Info=old_clock=16
[INTERNAL] SystemTime=1740963068.1677, LogicalClock=18, Info=old_clock=17
[INTERNAL] SystemTime=1740963068.6739, LogicalClock=19, Info=old_clock=18
[INTERNAL] SystemTime=1740963069.1778, LogicalClock=20, Info=old_clock=19
[INTERNAL] SystemTime=1740963069.6825, LogicalClock=21, Info=old_clock=20
[INTERNAL] SystemTime=1740963070.1881, LogicalClock=22, Info=old_clock=21
[INTERNAL] SystemTime=1740963070.6942, LogicalClock=23, Info=old_clock=22
[INTERNAL] SystemTime=1740963071.2004, LogicalClock=24, Info=old_clock=23
[INTERNAL] SystemTime=1740963071.7019, LogicalClock=25, Info=old_clock=24
[INTERNAL] SystemTime=1740963072.2082, LogicalClock=26, Info=old_clock=25
[INTERNAL] SystemTime=1740963072.7103, LogicalClock=27, Info=old_clock=26
[INTERNAL] SystemTime=1740963073.2165, LogicalClock=28, Info=old_clock=27
[INTERNAL] SystemTime=1740963073.7214, LogicalClock=29, Info=old_clock=28
[INTERNAL] SystemTime=1740963074.2223, LogicalClock=30, Info=old_clock=29
[INTERNAL] SystemTime=1740963074.7257, LogicalClock=31, Info=old_clock=30
[INTERNAL] SystemTime=1740963075.2282, LogicalClock=32, Info=old_clock=31
[INTERNAL] SystemTime=1740963075.7311, LogicalClock=33, Info=old_clock=32
[INTERNAL] SystemTime=1740963076.2354, LogicalClock=34, Info=old_clock=33
[INTERNAL] SystemTime=1740963076.7407, LogicalClock=35, Info=old_clock=34
[INTERNAL] SystemTime=1740963077.2444, LogicalClock=36, Info=old_clock=35
[INTERNAL] SystemTime=1740963077.7470, LogicalClock=37, Info=old_clock=36
[INTERNAL] SystemTime=1740963078.2534, LogicalClock=38, Info=old_clock=37
[INTERNAL] SystemTime=1740963078.7597, LogicalClock=39, Info=old_clock=38
[INTERNAL] SystemTime=1740963079.2636, LogicalClock=40, Info=old_clock=39
[INTERNAL] SystemTime=1740963079.7688, LogicalClock=41, Info=old_clock=40
[INTERNAL] SystemTime=1740963080.2729, LogicalClock=42, Info=old_clock=41
[INTERNAL] SystemTime=1740963080.7785, LogicalClock=43, Info=old_clock=42
[INTERNAL] SystemTime=1740963081.2838, LogicalClock=44, Info=old_clock=43
[INTERNAL] SystemTime=1740963081.7893, LogicalClock=45, Info=old_clock=44
[INTERNAL] SystemTime=1740963082.2910, LogicalClock=46, Info=old_clock=45
[RECEIVE] SystemTime=1740963082.7964, LogicalClock=69, Info=From=2, SenderClock=68, QueueSizeAfter=0, OldLocalClock=46
[INTERNAL] SystemTime=1740963083.3027, LogicalClock=70, Info=old_clock=69
[INTERNAL] SystemTime=1740963083.8056, LogicalClock=71, Info=old_clock=70
[INTERNAL] SystemTime=1740963084.3093, LogicalClock=72, Info=old_clock=71
[INTERNAL] SystemTime=1740963084.8155, LogicalClock=73, Info=old_clock=72
[INTERNAL] SystemTime=1740963085.3200, LogicalClock=74, Info=old_clock=73
[INTERNAL] SystemTime=1740963085.8214, LogicalClock=75, Info=old_clock=74
[INTERNAL] SystemTime=1740963086.3246, LogicalClock=76, Info=old_clock=75
[INTERNAL] SystemTime=1740963086.8307, LogicalClock=77, Info=old_clock=76
[INTERNAL] SystemTime=1740963087.3365, LogicalClock=78, Info=old_clock=77
[INTERNAL] SystemTime=1740963087.8419, LogicalClock=79, Info=old_clock=78
[INTERNAL] SystemTime=1740963088.3452, LogicalClock=80, Info=old_clock=79
[INTERNAL] SystemTime=1740963088.8511, LogicalClock=81, Info=old_clock=80
[INTERNAL] SystemTime=1740963089.3525, LogicalClock=82, Info=old_clock=81
[INTERNAL] SystemTime=1740963089.8584, LogicalClock=83, Info=old_clock=82
[INTERNAL] SystemTime=1740963090.3628, LogicalClock=84, Info=old_clock=83
[INTERNAL] SystemTime=1740963090.8687, LogicalClock=85, Info=old_clock=84
[INTERNAL] SystemTime=1740963091.3718, LogicalClock=86, Info=old_clock=85
[INTERNAL] SystemTime=1740963091.8778, LogicalClock=87, Info=old_clock=86
[INTERNAL] SystemTime=1740963092.3844, LogicalClock=88, Info=old_clock=87
[INTERNAL] SystemTime=1740963092.8904, LogicalClock=89, Info=old_clock=88
[INTERNAL] SystemTime=1740963093.3962, LogicalClock=90, Info=old_clock=89
[INTERNAL] SystemTime=1740963093.9021, LogicalClock=91, Info=old_clock=90
[INTERNAL] SystemTime=1740963094.4042, LogicalClock=92, Info=old_clock=91
[INTERNAL] SystemTime=1740963094.9074, LogicalClock=93, Info=old_clock=92
[INTERNAL] SystemTime=1740963095.4127, LogicalClock=94, Info=old_clock=93
[INTERNAL] SystemTime=1740963095.9152, LogicalClock=95, Info=old_clock=94
[INTERNAL] SystemTime=1740963096.4211, LogicalClock=96, Info=old_clock=95
[INTERNAL] SystemTime=1740963096.9261, LogicalClock=97, Info=old_clock=96
[SEND] SystemTime=1740963097.4307, LogicalClock=98, Info=To=2
[INTERNAL] SystemTime=1740963097.9353, LogicalClock=99, Info=old_clock=98
[INTERNAL] SystemTime=1740963098.4404, LogicalClock=100, Info=old_clock=99
[INTERNAL] SystemTime=1740963098.9441, LogicalClock=101, Info=old_clock=100
[INTERNAL] SystemTime=1740963099.4496, LogicalClock=102, Info=old_clock=101
[RECEIVE] SystemTime=1740963099.9540, LogicalClock=118, Info=From=3, SenderClock=117, QueueSizeAfter=0, OldLocalClock=102
[INTERNAL] SystemTime=1740963100.4552, LogicalClock=119, Info=old_clock=118
[INTERNAL] SystemTime=1740963100.9577, LogicalClock=120, Info=old_clock=119
[INTERNAL] SystemTime=1740963101.4611, LogicalClock=121, Info=old_clock=120
[INTERNAL] SystemTime=1740963101.9669, LogicalClock=122, Info=old_clock=121
