Machine 2 initialized. Clock rate=3
[INTERNAL] SystemTime=1740963059.5853, LogicalClock=1, Info=old_clock=0
[INTERNAL] SystemTime=1740963059.9240, LogicalClock=2, Info=old_clock=1
[INTERNAL] SystemTime=1740963060.2634, LogicalClock=3, Info=old_clock=2
[INTERNAL] SystemTime=1740963060.6032, LogicalClock=4, Info=old_clock=3
[INTERNAL] SystemTime=1740963060.9409, LogicalClock=5, Info=old_clock=4
[INTERNAL] SystemTime=1740963061.2793, LogicalClock=6, Info=old_clock=5
[INTERNAL] SystemTime=1740963061.6185, LogicalClock=7, Info=old_clock=6
[INTERNAL] SystemTime=1740963061.9546, LogicalClock=8, Info=old_clock=7
[INTERNAL] SystemTime=1740963062.2891, LogicalClock=9, Info=old_clock=8
[INTERNAL] SystemTime=1740963062.6267, LogicalClock=10, Info=old_clock=9
[INTERNAL] SystemTime=1740963062.9659, LogicalClock=11, Info=old_clock=10
[INTERNAL] SystemTime=1740963063.3054, LogicalClock=12, Info=old_clock=11
[INTERNAL] SystemTime=1740963063.6409, LogicalClock=13, Info=old_clock=12
[INTERNAL] SystemTime=1740963063.9800, LogicalClock=14, Info=old_clock=13
[INTERNAL] SystemTime=1740963064.3153, LogicalClock=15, Info=old_clock=14
[INTERNAL] SystemTime=1740963064.6549, LogicalClock=16, Info=old_clock=15
[INTERNAL] SystemTime=1740963064.9910, LogicalClock=17, Info=old_clock=16
[INTERNAL] SystemTime=1740963065.3301, LogicalClock=18, Info=old_clock=17
[INTERNAL] SystemTime=1740963065.6681, LogicalClock=19, Info=old_clock=18
[INTERNAL] SystemTime=1740963066.0027, LogicalClock=20, Info=old_clock=19
[INTERNAL] SystemTime=1740963066.3410, LogicalClock=21, Info=old_clock=20
[INTERNAL] SystemTime=1740963066.6805, LogicalClock=22, Info=old_clock=21
[INTERNAL] SystemTime=1740963067.0198, LogicalClock=23, Info=old_clock=22
[INTERNAL] SystemTime=1740963067.3562, LogicalClock=24, Info=old_clock=23
[INTERNAL] SystemTime=1740963067.6956, LogicalClock=25, Info=old_clock=24
[INTERNAL] SystemTime=1740963068.0306, LogicalClock=26, Info=old_clock=25
[INTERNAL] SystemTime=1740963068.3701, LogicalClock=27, Info=old_clock=26
[INTERNAL] SystemTime=1740963068.7063, LogicalClock=28, Info=old_clock=27
[INTERNAL] SystemTime=1740963069.0470, LogicalClock=29, Info=old_clock=28
[INTERNAL] SystemTime=1740963069.3864, LogicalClock=30, Info=old_clock=29
[INTERNAL] SystemTime=1740963069.7254, LogicalClock=31, Info=old_clock=30
[INTERNAL] SystemTime=1740963070.0636, LogicalClock=32, Info=old_clock=31
[INTERNAL] SystemTime=1740963070.3995, LogicalClock=33, Info=old_clock=32
[INTERNAL] SystemTime=1740963070.7381, LogicalClock=34, Info=old_clock=33
[INTERNAL] SystemTime=1740963071.0735, LogicalClock=35, Info=old_clock=34
[INTERNAL] SystemTime=1740963071.4130, LogicalClock=36, Info=old_clock=35
[INTERNAL] SystemTime=1740963071.7528, LogicalClock=37, Info=old_clock=36
[INTERNAL] SystemTime=1740963072.0927, LogicalClock=38, Info=old_clock=37
[INTERNAL] SystemTime=1740963072.4297, LogicalClock=39, Info=old_clock=38
[INTERNAL] SystemTime=1740963072.7680, LogicalClock=40, Info=old_clock=39
[INTERNAL] SystemTime=1740963073.1063, LogicalClock=41, Info=old_clock=40
[INTERNAL] SystemTime=1740963073.4411, LogicalClock=42, Info=old_clock=41
[INTERNAL] SystemTime=1740963073.7803, LogicalClock=43, Info=old_clock=42
[INTERNAL] SystemTime=1740963074.1167, LogicalClock=44, Info=old_clock=43
