Max internal event=100
Max clock speed=6
Machine 2 initialized. Clock rate=2
[INTERNAL] SystemTime=1741154964.5053, LogicalClock=1, Info=old_clock=0
[INTERNAL] SystemTime=1741154965.0106, LogicalClock=2, Info=old_clock=1
[INTERNAL] SystemTime=1741154965.5155, LogicalClock=3, Info=old_clock=2
[INTERNAL] SystemTime=1741154966.0217, LogicalClock=4, Info=old_clock=3
[SEND] SystemTime=1741154966.5240, LogicalClock=5, Info=To=3
[INTERNAL] SystemTime=1741154967.0259, LogicalClock=6, Info=old_clock=5
[INTERNAL] SystemTime=1741154967.5312, LogicalClock=7, Info=old_clock=6
[INTERNAL] SystemTime=1741154968.0334, LogicalClock=8, Info=old_clock=7
[INTERNAL] SystemTime=1741154968.5390, LogicalClock=9, Info=old_clock=8
[INTERNAL] SystemTime=1741154969.0403, LogicalClock=10, Info=old_clock=9
[INTERNAL] SystemTime=1741154969.5450, LogicalClock=11, Info=old_clock=10
[INTERNAL] SystemTime=1741154970.0460, LogicalClock=12, Info=old_clock=11
[RECEIVE] SystemTime=1741154970.5520, LogicalClock=13, Info=From=1, SenderClock=6, QueueSizeAfter=0, OldLocalClock=12
[INTERNAL] SystemTime=1741154971.0572, LogicalClock=14, Info=old_clock=13
[INTERNAL] SystemTime=1741154971.5597, LogicalClock=15, Info=old_clock=14
[INTERNAL] SystemTime=1741154972.0656, LogicalClock=16, Info=old_clock=15
[INTERNAL] SystemTime=1741154972.5717, LogicalClock=17, Info=old_clock=16
[INTERNAL] SystemTime=1741154973.0729, LogicalClock=18, Info=old_clock=17
[INTERNAL] SystemTime=1741154973.5779, LogicalClock=19, Info=old_clock=18
[INTERNAL] SystemTime=1741154974.0840, LogicalClock=20, Info=old_clock=19
[INTERNAL] SystemTime=1741154974.5902, LogicalClock=21, Info=old_clock=20
[INTERNAL] SystemTime=1741154975.0961, LogicalClock=22, Info=old_clock=21
[INTERNAL] SystemTime=1741154975.6023, LogicalClock=23, Info=old_clock=22
[INTERNAL] SystemTime=1741154976.1068, LogicalClock=24, Info=old_clock=23
[INTERNAL] SystemTime=1741154976.6130, LogicalClock=25, Info=old_clock=24
[INTERNAL] SystemTime=1741154977.1154, LogicalClock=26, Info=old_clock=25
[INTERNAL] SystemTime=1741154977.6195, LogicalClock=27, Info=old_clock=26
[INTERNAL] SystemTime=1741154978.1208, LogicalClock=28, Info=old_clock=27
[INTERNAL] SystemTime=1741154978.6235, LogicalClock=29, Info=old_clock=28
[INTERNAL] SystemTime=1741154979.1277, LogicalClock=30, Info=old_clock=29
[INTERNAL] SystemTime=1741154979.6350, LogicalClock=31, Info=old_clock=30
[INTERNAL] SystemTime=1741154980.1409, LogicalClock=32, Info=old_clock=31
[INTERNAL] SystemTime=1741154980.6442, LogicalClock=33, Info=old_clock=32
[INTERNAL] SystemTime=1741154981.1501, LogicalClock=34, Info=old_clock=33
[INTERNAL] SystemTime=1741154981.6546, LogicalClock=35, Info=old_clock=34
[INTERNAL] SystemTime=1741154982.1596, LogicalClock=36, Info=old_clock=35
[INTERNAL] SystemTime=1741154982.6643, LogicalClock=37, Info=old_clock=36
[INTERNAL] SystemTime=1741154983.1672, LogicalClock=38, Info=old_clock=37
[INTERNAL] SystemTime=1741154983.6731, LogicalClock=39, Info=old_clock=38
[SEND] SystemTime=1741154984.1750, LogicalClock=40, Info=Broadcast to peers [1, 3]
[INTERNAL] SystemTime=1741154984.6762, LogicalClock=41, Info=old_clock=40
[INTERNAL] SystemTime=1741154985.1824, LogicalClock=42, Info=old_clock=41
[INTERNAL] SystemTime=1741154985.6886, LogicalClock=43, Info=old_clock=42
[INTERNAL] SystemTime=1741154986.1936, LogicalClock=44, Info=old_clock=43
[INTERNAL] SystemTime=1741154986.6993, LogicalClock=45, Info=old_clock=44
[INTERNAL] SystemTime=1741154987.2051, LogicalClock=46, Info=old_clock=45
[INTERNAL] SystemTime=1741154987.7097, LogicalClock=47, Info=old_clock=46
[INTERNAL] SystemTime=1741154988.2147, LogicalClock=48, Info=old_clock=47
[INTERNAL] SystemTime=1741154988.7186, LogicalClock=49, Info=old_clock=48
[INTERNAL] SystemTime=1741154989.2240, LogicalClock=50, Info=old_clock=49
[INTERNAL] SystemTime=1741154989.7279, LogicalClock=51, Info=old_clock=50
[INTERNAL] SystemTime=1741154990.2328, LogicalClock=52, Info=old_clock=51
[INTERNAL] SystemTime=1741154990.7375, LogicalClock=53, Info=old_clock=52
[INTERNAL] SystemTime=1741154991.2429, LogicalClock=54, Info=old_clock=53
[INTERNAL] SystemTime=1741154991.7488, LogicalClock=55, Info=old_clock=54
[RECEIVE] SystemTime=1741154992.2552, LogicalClock=82, Info=From=3, SenderClock=81, QueueSizeAfter=0, OldLocalClock=55
[INTERNAL] SystemTime=1741154992.7564, LogicalClock=83, Info=old_clock=82
[INTERNAL] SystemTime=1741154993.2606, LogicalClock=84, Info=old_clock=83
[SEND] SystemTime=1741154993.7664, LogicalClock=85, Info=To=1
[INTERNAL] SystemTime=1741154994.2719, LogicalClock=86, Info=old_clock=85
[INTERNAL] SystemTime=1741154994.7740, LogicalClock=87, Info=old_clock=86
[INTERNAL] SystemTime=1741154995.2789, LogicalClock=88, Info=old_clock=87
[INTERNAL] SystemTime=1741154995.7835, LogicalClock=89, Info=old_clock=88
[INTERNAL] SystemTime=1741154996.2892, LogicalClock=90, Info=old_clock=89
[INTERNAL] SystemTime=1741154996.7928, LogicalClock=91, Info=old_clock=90
[INTERNAL] SystemTime=1741154997.2965, LogicalClock=92, Info=old_clock=91
[INTERNAL] SystemTime=1741154997.7998, LogicalClock=93, Info=old_clock=92
[INTERNAL] SystemTime=1741154998.3016, LogicalClock=94, Info=old_clock=93
[INTERNAL] SystemTime=1741154998.8055, LogicalClock=95, Info=old_clock=94
[INTERNAL] SystemTime=1741154999.3104, LogicalClock=96, Info=old_clock=95
[INTERNAL] SystemTime=1741154999.8148, LogicalClock=97, Info=old_clock=96
[INTERNAL] SystemTime=1741155000.3160, LogicalClock=98, Info=old_clock=97
[INTERNAL] SystemTime=1741155000.8214, LogicalClock=99, Info=old_clock=98
[INTERNAL] SystemTime=1741155001.3271, LogicalClock=100, Info=old_clock=99
[INTERNAL] SystemTime=1741155001.8282, LogicalClock=101, Info=old_clock=100
[INTERNAL] SystemTime=1741155002.3338, LogicalClock=102, Info=old_clock=101
[INTERNAL] SystemTime=1741155002.8393, LogicalClock=103, Info=old_clock=102
[INTERNAL] SystemTime=1741155003.3437, LogicalClock=104, Info=old_clock=103
[INTERNAL] SystemTime=1741155003.8459, LogicalClock=105, Info=old_clock=104
[INTERNAL] SystemTime=1741155004.3471, LogicalClock=106, Info=old_clock=105
[INTERNAL] SystemTime=1741155004.8530, LogicalClock=107, Info=old_clock=106
[INTERNAL] SystemTime=1741155005.3564, LogicalClock=108, Info=old_clock=107
[INTERNAL] SystemTime=1741155005.8602, LogicalClock=109, Info=old_clock=108
[INTERNAL] SystemTime=1741155006.3648, LogicalClock=110, Info=old_clock=109
[INTERNAL] SystemTime=1741155006.8696, LogicalClock=111, Info=old_clock=110
[INTERNAL] SystemTime=1741155007.3753, LogicalClock=112, Info=old_clock=111
[INTERNAL] SystemTime=1741155007.8801, LogicalClock=113, Info=old_clock=112
[INTERNAL] SystemTime=1741155008.3859, LogicalClock=114, Info=old_clock=113
[INTERNAL] SystemTime=1741155008.8874, LogicalClock=115, Info=old_clock=114
[INTERNAL] SystemTime=1741155009.3925, LogicalClock=116, Info=old_clock=115
[INTERNAL] SystemTime=1741155009.8952, LogicalClock=117, Info=old_clock=116
[INTERNAL] SystemTime=1741155010.3986, LogicalClock=118, Info=old_clock=117
[INTERNAL] SystemTime=1741155010.9030, LogicalClock=119, Info=old_clock=118
[INTERNAL] SystemTime=1741155011.4086, LogicalClock=120, Info=old_clock=119
[INTERNAL] SystemTime=1741155011.9147, LogicalClock=121, Info=old_clock=120
[INTERNAL] SystemTime=1741155012.4195, LogicalClock=122, Info=old_clock=121
[INTERNAL] SystemTime=1741155012.9217, LogicalClock=123, Info=old_clock=122
[INTERNAL] SystemTime=1741155013.4273, LogicalClock=124, Info=old_clock=123
[INTERNAL] SystemTime=1741155013.9292, LogicalClock=125, Info=old_clock=124
[INTERNAL] SystemTime=1741155014.4315, LogicalClock=126, Info=old_clock=125
[INTERNAL] SystemTime=1741155014.9337, LogicalClock=127, Info=old_clock=126
[INTERNAL] SystemTime=1741155015.4363, LogicalClock=128, Info=old_clock=127
[INTERNAL] SystemTime=1741155015.9424, LogicalClock=129, Info=old_clock=128
[INTERNAL] SystemTime=1741155016.4449, LogicalClock=130, Info=old_clock=129
[INTERNAL] SystemTime=1741155016.9466, LogicalClock=131, Info=old_clock=130
[INTERNAL] SystemTime=1741155017.4520, LogicalClock=132, Info=old_clock=131
[INTERNAL] SystemTime=1741155017.9564, LogicalClock=133, Info=old_clock=132
[RECEIVE] SystemTime=1741155018.4595, LogicalClock=160, Info=From=3, SenderClock=159, QueueSizeAfter=0, OldLocalClock=133
[INTERNAL] SystemTime=1741155018.9637, LogicalClock=161, Info=old_clock=160
[INTERNAL] SystemTime=1741155019.4668, LogicalClock=162, Info=old_clock=161
[SEND] SystemTime=1741155019.9732, LogicalClock=163, Info=Broadcast to peers [1, 3]
[INTERNAL] SystemTime=1741155020.4772, LogicalClock=164, Info=old_clock=163
[INTERNAL] SystemTime=1741155020.9824, LogicalClock=165, Info=old_clock=164
[INTERNAL] SystemTime=1741155021.4882, LogicalClock=166, Info=old_clock=165
[INTERNAL] SystemTime=1741155021.9920, LogicalClock=167, Info=old_clock=166
[INTERNAL] SystemTime=1741155022.4951, LogicalClock=168, Info=old_clock=167
[INTERNAL] SystemTime=1741155023.0014, LogicalClock=169, Info=old_clock=168
[INTERNAL] SystemTime=1741155023.5075, LogicalClock=170, Info=old_clock=169
[INTERNAL] SystemTime=1741155024.0138, LogicalClock=171, Info=old_clock=170
