Max internal event=100
Max clock speed=6
Machine 3 initialized. Clock rate=3
[INTERNAL] SystemTime=1741154964.5053, LogicalClock=1, Info=old_clock=0
[INTERNAL] SystemTime=1741154964.8440, LogicalClock=2, Info=old_clock=1
[INTERNAL] SystemTime=1741154965.1816, LogicalClock=3, Info=old_clock=2
[INTERNAL] SystemTime=1741154965.5209, LogicalClock=4, Info=old_clock=3
[INTERNAL] SystemTime=1741154965.8589, LogicalClock=5, Info=old_clock=4
[INTERNAL] SystemTime=1741154966.1969, LogicalClock=6, Info=old_clock=5
[RECEIVE] SystemTime=1741154966.5332, LogicalClock=7, Info=From=2, SenderClock=4, QueueSizeAfter=0, OldLocalClock=6
[INTERNAL] SystemTime=1741154966.8706, LogicalClock=8, Info=old_clock=7
[INTERNAL] SystemTime=1741154967.2073, LogicalClock=9, Info=old_clock=8
[INTERNAL] SystemTime=1741154967.5468, LogicalClock=10, Info=old_clock=9
[INTERNAL] SystemTime=1741154967.8856, LogicalClock=11, Info=old_clock=10
[INTERNAL] SystemTime=1741154968.2224, LogicalClock=12, Info=old_clock=11
[INTERNAL] SystemTime=1741154968.5588, LogicalClock=13, Info=old_clock=12
[INTERNAL] SystemTime=1741154968.8978, LogicalClock=14, Info=old_clock=13
[INTERNAL] SystemTime=1741154969.2373, LogicalClock=15, Info=old_clock=14
[INTERNAL] SystemTime=1741154969.5749, LogicalClock=16, Info=old_clock=15
[INTERNAL] SystemTime=1741154969.9120, LogicalClock=17, Info=old_clock=16
[INTERNAL] SystemTime=1741154970.2478, LogicalClock=18, Info=old_clock=17
[INTERNAL] SystemTime=1741154970.5875, LogicalClock=19, Info=old_clock=18
[INTERNAL] SystemTime=1741154970.9268, LogicalClock=20, Info=old_clock=19
[INTERNAL] SystemTime=1741154971.2665, LogicalClock=21, Info=old_clock=20
[INTERNAL] SystemTime=1741154971.6050, LogicalClock=22, Info=old_clock=21
[INTERNAL] SystemTime=1741154971.9405, LogicalClock=23, Info=old_clock=22
[INTERNAL] SystemTime=1741154972.2803, LogicalClock=24, Info=old_clock=23
[INTERNAL] SystemTime=1741154972.6196, LogicalClock=25, Info=old_clock=24
[INTERNAL] SystemTime=1741154972.9572, LogicalClock=26, Info=old_clock=25
[INTERNAL] SystemTime=1741154973.2922, LogicalClock=27, Info=old_clock=26
[INTERNAL] SystemTime=1741154973.6294, LogicalClock=28, Info=old_clock=27
[INTERNAL] SystemTime=1741154973.9687, LogicalClock=29, Info=old_clock=28
[INTERNAL] SystemTime=1741154974.3062, LogicalClock=30, Info=old_clock=29
[INTERNAL] SystemTime=1741154974.6429, LogicalClock=31, Info=old_clock=30
[INTERNAL] SystemTime=1741154974.9795, LogicalClock=32, Info=old_clock=31
[INTERNAL] SystemTime=1741154975.3192, LogicalClock=33, Info=old_clock=32
[INTERNAL] SystemTime=1741154975.6568, LogicalClock=34, Info=old_clock=33
[INTERNAL] SystemTime=1741154975.9958, LogicalClock=35, Info=old_clock=34
[INTERNAL] SystemTime=1741154976.3338, LogicalClock=36, Info=old_clock=35
[INTERNAL] SystemTime=1741154976.6705, LogicalClock=37, Info=old_clock=36
[INTERNAL] SystemTime=1741154977.0087, LogicalClock=38, Info=old_clock=37
[INTERNAL] SystemTime=1741154977.3480, LogicalClock=39, Info=old_clock=38
[INTERNAL] SystemTime=1741154977.6865, LogicalClock=40, Info=old_clock=39
[INTERNAL] SystemTime=1741154978.0230, LogicalClock=41, Info=old_clock=40
[INTERNAL] SystemTime=1741154978.3622, LogicalClock=42, Info=old_clock=41
[INTERNAL] SystemTime=1741154978.7004, LogicalClock=43, Info=old_clock=42
[INTERNAL] SystemTime=1741154979.0367, LogicalClock=44, Info=old_clock=43
[INTERNAL] SystemTime=1741154979.3740, LogicalClock=45, Info=old_clock=44
[INTERNAL] SystemTime=1741154979.7116, LogicalClock=46, Info=old_clock=45
[INTERNAL] SystemTime=1741154980.0465, LogicalClock=47, Info=old_clock=46
[INTERNAL] SystemTime=1741154980.3813, LogicalClock=48, Info=old_clock=47
[INTERNAL] SystemTime=1741154980.7197, LogicalClock=49, Info=old_clock=48
[INTERNAL] SystemTime=1741154981.0588, LogicalClock=50, Info=old_clock=49
[INTERNAL] SystemTime=1741154981.3935, LogicalClock=51, Info=old_clock=50
[INTERNAL] SystemTime=1741154981.7330, LogicalClock=52, Info=old_clock=51
[INTERNAL] SystemTime=1741154982.0673, LogicalClock=53, Info=old_clock=52
[INTERNAL] SystemTime=1741154982.4043, LogicalClock=54, Info=old_clock=53
[INTERNAL] SystemTime=1741154982.7427, LogicalClock=55, Info=old_clock=54
[INTERNAL] SystemTime=1741154983.0798, LogicalClock=56, Info=old_clock=55
[INTERNAL] SystemTime=1741154983.4163, LogicalClock=57, Info=old_clock=56
[INTERNAL] SystemTime=1741154983.7523, LogicalClock=58, Info=old_clock=57
[INTERNAL] SystemTime=1741154984.0871, LogicalClock=59, Info=old_clock=58
[RECEIVE] SystemTime=1741154984.4268, LogicalClock=60, Info=From=2, SenderClock=39, QueueSizeAfter=0, OldLocalClock=59
[INTERNAL] SystemTime=1741154984.7665, LogicalClock=61, Info=old_clock=60
[INTERNAL] SystemTime=1741154985.1032, LogicalClock=62, Info=old_clock=61
[INTERNAL] SystemTime=1741154985.4407, LogicalClock=63, Info=old_clock=62
[INTERNAL] SystemTime=1741154985.7798, LogicalClock=64, Info=old_clock=63
[INTERNAL] SystemTime=1741154986.1147, LogicalClock=65, Info=old_clock=64
[INTERNAL] SystemTime=1741154986.4543, LogicalClock=66, Info=old_clock=65
[INTERNAL] SystemTime=1741154986.7923, LogicalClock=67, Info=old_clock=66
[INTERNAL] SystemTime=1741154987.1319, LogicalClock=68, Info=old_clock=67
[INTERNAL] SystemTime=1741154987.4705, LogicalClock=69, Info=old_clock=68
[INTERNAL] SystemTime=1741154987.8064, LogicalClock=70, Info=old_clock=69
[INTERNAL] SystemTime=1741154988.1459, LogicalClock=71, Info=old_clock=70
[INTERNAL] SystemTime=1741154988.4814, LogicalClock=72, Info=old_clock=71
[INTERNAL] SystemTime=1741154988.8183, LogicalClock=73, Info=old_clock=72
[INTERNAL] SystemTime=1741154989.1560, LogicalClock=74, Info=old_clock=73
[INTERNAL] SystemTime=1741154989.4931, LogicalClock=75, Info=old_clock=74
[INTERNAL] SystemTime=1741154989.8314, LogicalClock=76, Info=old_clock=75
[INTERNAL] SystemTime=1741154990.1670, LogicalClock=77, Info=old_clock=76
[INTERNAL] SystemTime=1741154990.5064, LogicalClock=78, Info=old_clock=77
