Machine 2 initialized. Clock rate=2
[RECEIVE] SystemTime=1740951017.0096, LogicalClock=127, Info=From=3, SenderClock=126, QueueSizeAfter=5, OldLocalClock=125
[RECEIVE] SystemTime=1740951017.5153, LogicalClock=132, Info=From=1, SenderClock=131, QueueSizeAfter=5, OldLocalClock=127
[RECEIVE] SystemTime=1740951018.0187, LogicalClock=138, Info=From=1, SenderClock=137, QueueSizeAfter=5, OldLocalClock=132
[RECEIVE] SystemTime=1740951018.5228, LogicalClock=140, Info=From=1, SenderClock=139, QueueSizeAfter=4, OldLocalClock=138
[RECEIVE] SystemTime=1740951019.0289, LogicalClock=142, Info=From=1, SenderClock=141, QueueSizeAfter=5, OldLocalClock=140
[RECEIVE] SystemTime=1740951019.5323, LogicalClock=145, Info=From=1, SenderClock=144, QueueSizeAfter=5, OldLocalClock=142
[RECEIVE] SystemTime=1740951020.0362, LogicalClock=147, Info=From=1, SenderClock=146, QueueSizeAfter=6, OldLocalClock=145
[RECEIVE] SystemTime=1740951020.5422, LogicalClock=148, Info=From=3, SenderClock=147, QueueSizeAfter=6, OldLocalClock=147
[RECEIVE] SystemTime=1740951021.0459, LogicalClock=151, Info=From=3, SenderClock=150, QueueSizeAfter=6, OldLocalClock=148
[RECEIVE] SystemTime=1740951021.5518, LogicalClock=155, Info=From=1, SenderClock=154, QueueSizeAfter=6, OldLocalClock=151
[RECEIVE] SystemTime=1740951022.0582, LogicalClock=156, Info=From=3, SenderClock=153, QueueSizeAfter=6, OldLocalClock=155
[RECEIVE] SystemTime=1740951022.5595, LogicalClock=161, Info=From=1, SenderClock=160, QueueSizeAfter=6, OldLocalClock=156
[RECEIVE] SystemTime=1740951023.0651, LogicalClock=162, Info=From=1, SenderClock=161, QueueSizeAfter=6, OldLocalClock=161
[RECEIVE] SystemTime=1740951023.5714, LogicalClock=164, Info=From=1, SenderClock=163, QueueSizeAfter=5, OldLocalClock=162
[RECEIVE] SystemTime=1740951024.0759, LogicalClock=165, Info=From=3, SenderClock=164, QueueSizeAfter=5, OldLocalClock=164
[RECEIVE] SystemTime=1740951024.5819, LogicalClock=166, Info=From=3, SenderClock=165, QueueSizeAfter=4, OldLocalClock=165
[RECEIVE] SystemTime=1740951025.0882, LogicalClock=172, Info=From=3, SenderClock=171, QueueSizeAfter=4, OldLocalClock=166
[RECEIVE] SystemTime=1740951025.5913, LogicalClock=173, Info=From=3, SenderClock=172, QueueSizeAfter=6, OldLocalClock=172
[RECEIVE] SystemTime=1740951026.0971, LogicalClock=180, Info=From=1, SenderClock=179, QueueSizeAfter=6, OldLocalClock=173
