Max internal event=4
Max clock speed=6
Machine 1 initialized. Clock rate=2
[SEND] SystemTime=1741156142.1287, LogicalClock=1, Info=Broadcast to peers [2, 3]
[RECEIVE] SystemTime=1741156142.6339, LogicalClock=2, Info=From=2, SenderClock=0, QueueSizeAfter=0, OldLocalClock=1
[RECEIVE] SystemTime=1741156143.1398, LogicalClock=4, Info=From=3, SenderClock=3, QueueSizeAfter=0, OldLocalClock=2
[RECEIVE] SystemTime=1741156143.6414, LogicalClock=6, Info=From=3, SenderClock=5, QueueSizeAfter=2, OldLocalClock=4
[RECEIVE] SystemTime=1741156144.1474, LogicalClock=7, Info=From=3, SenderClock=6, QueueSizeAfter=3, OldLocalClock=6
[RECEIVE] SystemTime=1741156144.6511, LogicalClock=8, Info=From=3, SenderClock=7, QueueSizeAfter=2, OldLocalClock=7
[RECEIVE] SystemTime=1741156145.1539, LogicalClock=9, Info=From=3, SenderClock=8, QueueSizeAfter=3, OldLocalClock=8
[RECEIVE] SystemTime=1741156145.6596, LogicalClock=10, Info=From=3, SenderClock=9, QueueSizeAfter=4, OldLocalClock=9
[RECEIVE] SystemTime=1741156146.1635, LogicalClock=14, Info=From=3, SenderClock=13, QueueSizeAfter=5, OldLocalClock=10
[RECEIVE] SystemTime=1741156146.6691, LogicalClock=15, Info=From=3, SenderClock=14, QueueSizeAfter=5, OldLocalClock=14
[RECEIVE] SystemTime=1741156147.1750, LogicalClock=16, Info=From=3, SenderClock=15, QueueSizeAfter=5, OldLocalClock=15
[RECEIVE] SystemTime=1741156147.6796, LogicalClock=18, Info=From=3, SenderClock=17, QueueSizeAfter=7, OldLocalClock=16
[RECEIVE] SystemTime=1741156148.1832, LogicalClock=19, Info=From=3, SenderClock=18, QueueSizeAfter=6, OldLocalClock=18
[RECEIVE] SystemTime=1741156148.6889, LogicalClock=20, Info=From=3, SenderClock=19, QueueSizeAfter=6, OldLocalClock=19
[RECEIVE] SystemTime=1741156149.1936, LogicalClock=21, Info=From=3, SenderClock=20, QueueSizeAfter=5, OldLocalClock=20
[RECEIVE] SystemTime=1741156149.6990, LogicalClock=24, Info=From=3, SenderClock=23, QueueSizeAfter=5, OldLocalClock=21
[RECEIVE] SystemTime=1741156150.2042, LogicalClock=26, Info=From=3, SenderClock=25, QueueSizeAfter=6, OldLocalClock=24
[RECEIVE] SystemTime=1741156150.7072, LogicalClock=27, Info=From=3, SenderClock=26, QueueSizeAfter=7, OldLocalClock=26
[RECEIVE] SystemTime=1741156151.2121, LogicalClock=28, Info=From=3, SenderClock=27, QueueSizeAfter=7, OldLocalClock=27
[RECEIVE] SystemTime=1741156151.7177, LogicalClock=32, Info=From=3, SenderClock=31, QueueSizeAfter=7, OldLocalClock=28
[RECEIVE] SystemTime=1741156152.2224, LogicalClock=37, Info=From=3, SenderClock=36, QueueSizeAfter=7, OldLocalClock=32
[RECEIVE] SystemTime=1741156152.7268, LogicalClock=39, Info=From=3, SenderClock=38, QueueSizeAfter=8, OldLocalClock=37
[RECEIVE] SystemTime=1741156153.2325, LogicalClock=40, Info=From=3, SenderClock=39, QueueSizeAfter=9, OldLocalClock=39
