Max internal event=4
Max clock speed=6
Machine 2 initialized. Clock rate=1
[SEND] SystemTime=1741156142.1287, LogicalClock=1, Info=Broadcast to peers [1, 3]
[RECEIVE] SystemTime=1741156143.1340, LogicalClock=2, Info=From=1, SenderClock=0, QueueSizeAfter=1, OldLocalClock=1
[RECEIVE] SystemTime=1741156144.1371, LogicalClock=3, Info=From=3, SenderClock=0, QueueSizeAfter=3, OldLocalClock=2
[RECEIVE] SystemTime=1741156145.1391, LogicalClock=6, Info=From=3, SenderClock=5, QueueSizeAfter=4, OldLocalClock=3
[RECEIVE] SystemTime=1741156146.1450, LogicalClock=7, Info=From=3, SenderClock=6, QueueSizeAfter=7, OldLocalClock=6
[RECEIVE] SystemTime=1741156147.1490, LogicalClock=10, Info=From=3, SenderClock=9, QueueSizeAfter=8, OldLocalClock=7
[RECEIVE] SystemTime=1741156148.1592, LogicalClock=11, Info=From=3, SenderClock=10, QueueSizeAfter=10, OldLocalClock=10
[RECEIVE] SystemTime=1741156149.1625, LogicalClock=13, Info=From=3, SenderClock=12, QueueSizeAfter=13, OldLocalClock=11
[RECEIVE] SystemTime=1741156150.1635, LogicalClock=16, Info=From=3, SenderClock=15, QueueSizeAfter=14, OldLocalClock=13
[RECEIVE] SystemTime=1741156151.1693, LogicalClock=18, Info=From=3, SenderClock=17, QueueSizeAfter=14, OldLocalClock=16
[RECEIVE] SystemTime=1741156152.1751, LogicalClock=19, Info=From=3, SenderClock=18, QueueSizeAfter=16, OldLocalClock=18
[RECEIVE] SystemTime=1741156153.1791, LogicalClock=20, Info=From=3, SenderClock=19, QueueSizeAfter=19, OldLocalClock=19
[RECEIVE] SystemTime=1741156154.1836, LogicalClock=21, Info=From=3, SenderClock=20, QueueSizeAfter=21, OldLocalClock=20
[RECEIVE] SystemTime=1741156155.1856, LogicalClock=24, Info=From=3, SenderClock=23, QueueSizeAfter=22, OldLocalClock=21
[RECEIVE] SystemTime=1741156156.1892, LogicalClock=26, Info=From=3, SenderClock=25, QueueSizeAfter=24, OldLocalClock=24
[RECEIVE] SystemTime=1741156157.1950, LogicalClock=28, Info=From=3, SenderClock=27, QueueSizeAfter=24, OldLocalClock=26
[RECEIVE] SystemTime=1741156158.2001, LogicalClock=30, Info=From=3, SenderClock=29, QueueSizeAfter=24, OldLocalClock=28
[RECEIVE] SystemTime=1741156159.2044, LogicalClock=32, Info=From=3, SenderClock=31, QueueSizeAfter=26, OldLocalClock=30
[RECEIVE] SystemTime=1741156160.2104, LogicalClock=33, Info=From=3, SenderClock=32, QueueSizeAfter=28, OldLocalClock=32
[RECEIVE] SystemTime=1741156161.2159, LogicalClock=34, Info=From=3, SenderClock=33, QueueSizeAfter=29, OldLocalClock=33
[RECEIVE] SystemTime=1741156162.2217, LogicalClock=35, Info=From=3, SenderClock=34, QueueSizeAfter=28, OldLocalClock=34
[RECEIVE] SystemTime=1741156163.2234, LogicalClock=39, Info=From=3, SenderClock=38, QueueSizeAfter=29, OldLocalClock=35
[RECEIVE] SystemTime=1741156164.2294, LogicalClock=40, Info=From=3, SenderClock=39, QueueSizeAfter=29, OldLocalClock=39
[RECEIVE] SystemTime=1741156165.2324, LogicalClock=44, Info=From=3, SenderClock=43, QueueSizeAfter=31, OldLocalClock=40
[RECEIVE] SystemTime=1741156166.2383, LogicalClock=46, Info=From=3, SenderClock=45, QueueSizeAfter=33, OldLocalClock=44
[RECEIVE] SystemTime=1741156167.2440, LogicalClock=47, Info=From=3, SenderClock=46, QueueSizeAfter=36, OldLocalClock=46
[RECEIVE] SystemTime=1741156168.2480, LogicalClock=50, Info=From=3, SenderClock=49, QueueSizeAfter=37, OldLocalClock=47
[RECEIVE] SystemTime=1741156169.2537, LogicalClock=51, Info=From=3, SenderClock=50, QueueSizeAfter=37, OldLocalClock=50
[RECEIVE] SystemTime=1741156170.2597, LogicalClock=52, Info=From=3, SenderClock=51, QueueSizeAfter=39, OldLocalClock=51
[RECEIVE] SystemTime=1741156171.2646, LogicalClock=53, Info=From=3, SenderClock=52, QueueSizeAfter=41, OldLocalClock=52
[RECEIVE] SystemTime=1741156172.2698, LogicalClock=54, Info=From=3, SenderClock=53, QueueSizeAfter=42, OldLocalClock=53
[RECEIVE] SystemTime=1741156173.2721, LogicalClock=56, Info=From=3, SenderClock=55, QueueSizeAfter=43, OldLocalClock=54
[RECEIVE] SystemTime=1741156174.2749, LogicalClock=57, Info=From=3, SenderClock=56, QueueSizeAfter=44, OldLocalClock=56
[RECEIVE] SystemTime=1741156175.2812, LogicalClock=58, Info=From=3, SenderClock=57, QueueSizeAfter=45, OldLocalClock=57
[RECEIVE] SystemTime=1741156176.2823, LogicalClock=62, Info=From=3, SenderClock=61, QueueSizeAfter=46, OldLocalClock=58
[RECEIVE] SystemTime=1741156177.2859, LogicalClock=65, Info=From=3, SenderClock=64, QueueSizeAfter=47, OldLocalClock=62
[RECEIVE] SystemTime=1741156178.2920, LogicalClock=67, Info=From=3, SenderClock=66, QueueSizeAfter=49, OldLocalClock=65
[RECEIVE] SystemTime=1741156179.2983, LogicalClock=68, Info=From=3, SenderClock=67, QueueSizeAfter=50, OldLocalClock=67
[RECEIVE] SystemTime=1741156180.3044, LogicalClock=69, Info=From=3, SenderClock=68, QueueSizeAfter=52, OldLocalClock=68
[RECEIVE] SystemTime=1741156181.3107, LogicalClock=74, Info=From=3, SenderClock=73, QueueSizeAfter=53, OldLocalClock=69
[RECEIVE] SystemTime=1741156182.3136, LogicalClock=76, Info=From=3, SenderClock=75, QueueSizeAfter=54, OldLocalClock=74
[RECEIVE] SystemTime=1741156183.3179, LogicalClock=80, Info=From=3, SenderClock=79, QueueSizeAfter=56, OldLocalClock=76
[RECEIVE] SystemTime=1741156184.3243, LogicalClock=81, Info=From=3, SenderClock=80, QueueSizeAfter=59, OldLocalClock=80
[RECEIVE] SystemTime=1741156185.3305, LogicalClock=83, Info=From=3, SenderClock=82, QueueSizeAfter=60, OldLocalClock=81
[RECEIVE] SystemTime=1741156186.3367, LogicalClock=86, Info=From=3, SenderClock=85, QueueSizeAfter=62, OldLocalClock=83
[RECEIVE] SystemTime=1741156187.3421, LogicalClock=88, Info=From=3, SenderClock=87, QueueSizeAfter=62, OldLocalClock=86
[RECEIVE] SystemTime=1741156188.3461, LogicalClock=89, Info=From=3, SenderClock=88, QueueSizeAfter=64, OldLocalClock=88
[RECEIVE] SystemTime=1741156189.3535, LogicalClock=91, Info=From=3, SenderClock=90, QueueSizeAfter=66, OldLocalClock=89
[RECEIVE] SystemTime=1741156190.3593, LogicalClock=94, Info=From=3, SenderClock=93, QueueSizeAfter=68, OldLocalClock=91
[RECEIVE] SystemTime=1741156191.3629, LogicalClock=100, Info=From=3, SenderClock=99, QueueSizeAfter=70, OldLocalClock=94
[RECEIVE] SystemTime=1741156192.3654, LogicalClock=104, Info=From=3, SenderClock=103, QueueSizeAfter=71, OldLocalClock=100
[RECEIVE] SystemTime=1741156193.3710, LogicalClock=107, Info=From=3, SenderClock=106, QueueSizeAfter=72, OldLocalClock=104
[RECEIVE] SystemTime=1741156194.3728, LogicalClock=110, Info=From=3, SenderClock=109, QueueSizeAfter=73, OldLocalClock=107
[RECEIVE] SystemTime=1741156195.3787, LogicalClock=111, Info=From=3, SenderClock=110, QueueSizeAfter=73, OldLocalClock=110
[RECEIVE] SystemTime=1741156196.3810, LogicalClock=113, Info=From=3, SenderClock=112, QueueSizeAfter=73, OldLocalClock=111
[RECEIVE] SystemTime=1741156197.3866, LogicalClock=115, Info=From=3, SenderClock=114, QueueSizeAfter=76, OldLocalClock=113
[RECEIVE] SystemTime=1741156198.3925, LogicalClock=116, Info=From=3, SenderClock=115, QueueSizeAfter=78, OldLocalClock=115
[RECEIVE] SystemTime=1741156199.3983, LogicalClock=117, Info=From=3, SenderClock=116, QueueSizeAfter=78, OldLocalClock=116
[RECEIVE] SystemTime=1741156200.4039, LogicalClock=120, Info=From=3, SenderClock=119, QueueSizeAfter=80, OldLocalClock=117
[RECEIVE] SystemTime=1741156201.4060, LogicalClock=121, Info=From=3, SenderClock=120, QueueSizeAfter=82, OldLocalClock=120
