Max internal event=100
Max clock speed=6
Machine 2 initialized. Clock rate=2
[INTERNAL] SystemTime=1741155156.6877, LogicalClock=1, Info=old_clock=0
[INTERNAL] SystemTime=1741155157.1935, LogicalClock=2, Info=old_clock=1
[INTERNAL] SystemTime=1741155157.6977, LogicalClock=3, Info=old_clock=2
[INTERNAL] SystemTime=1741155158.2017, LogicalClock=4, Info=old_clock=3
[INTERNAL] SystemTime=1741155158.7067, LogicalClock=5, Info=old_clock=4
[INTERNAL] SystemTime=1741155159.2094, LogicalClock=6, Info=old_clock=5
[INTERNAL] SystemTime=1741155159.7155, LogicalClock=7, Info=old_clock=6
[SEND] SystemTime=1741155160.2182, LogicalClock=8, Info=Broadcast to peers [1, 3]
[INTERNAL] SystemTime=1741155160.7238, LogicalClock=9, Info=old_clock=8
[INTERNAL] SystemTime=1741155161.2269, LogicalClock=10, Info=old_clock=9
[INTERNAL] SystemTime=1741155161.7324, LogicalClock=11, Info=old_clock=10
[INTERNAL] SystemTime=1741155162.2380, LogicalClock=12, Info=old_clock=11
[INTERNAL] SystemTime=1741155162.7406, LogicalClock=13, Info=old_clock=12
[INTERNAL] SystemTime=1741155163.2451, LogicalClock=14, Info=old_clock=13
[INTERNAL] SystemTime=1741155163.7506, LogicalClock=15, Info=old_clock=14
[INTERNAL] SystemTime=1741155164.2519, LogicalClock=16, Info=old_clock=15
[INTERNAL] SystemTime=1741155164.7572, LogicalClock=17, Info=old_clock=16
[RECEIVE] SystemTime=1741155165.2615, LogicalClock=18, Info=From=3, SenderClock=17, QueueSizeAfter=0, OldLocalClock=17
[INTERNAL] SystemTime=1741155165.7672, LogicalClock=19, Info=old_clock=18
[INTERNAL] SystemTime=1741155166.2707, LogicalClock=20, Info=old_clock=19
[INTERNAL] SystemTime=1741155166.7762, LogicalClock=21, Info=old_clock=20
[INTERNAL] SystemTime=1741155167.2819, LogicalClock=22, Info=old_clock=21
[INTERNAL] SystemTime=1741155167.7873, LogicalClock=23, Info=old_clock=22
[INTERNAL] SystemTime=1741155168.2917, LogicalClock=24, Info=old_clock=23
[INTERNAL] SystemTime=1741155168.7924, LogicalClock=25, Info=old_clock=24
[INTERNAL] SystemTime=1741155169.2969, LogicalClock=26, Info=old_clock=25
[INTERNAL] SystemTime=1741155169.7989, LogicalClock=27, Info=old_clock=26
[INTERNAL] SystemTime=1741155170.3052, LogicalClock=28, Info=old_clock=27
[INTERNAL] SystemTime=1741155170.8083, LogicalClock=29, Info=old_clock=28
[INTERNAL] SystemTime=1741155171.3122, LogicalClock=30, Info=old_clock=29
