Max internal event=100
Max clock speed=6
Machine 3 initialized. Clock rate=2
[INTERNAL] SystemTime=1741155156.6877, LogicalClock=1, Info=old_clock=0
[INTERNAL] SystemTime=1741155157.1932, LogicalClock=2, Info=old_clock=1
[INTERNAL] SystemTime=1741155157.6993, LogicalClock=3, Info=old_clock=2
[INTERNAL] SystemTime=1741155158.2016, LogicalClock=4, Info=old_clock=3
[INTERNAL] SystemTime=1741155158.7072, LogicalClock=5, Info=old_clock=4
[INTERNAL] SystemTime=1741155159.2095, LogicalClock=6, Info=old_clock=5
[SEND] SystemTime=1741155159.7108, LogicalClock=7, Info=To=1
[INTERNAL] SystemTime=1741155160.2156, LogicalClock=8, Info=old_clock=7
[RECEIVE] SystemTime=1741155160.7176, LogicalClock=9, Info=From=2, SenderClock=7, QueueSizeAfter=0, OldLocalClock=8
[INTERNAL] SystemTime=1741155161.2236, LogicalClock=10, Info=old_clock=9
[INTERNAL] SystemTime=1741155161.7297, LogicalClock=11, Info=old_clock=10
[SEND] SystemTime=1741155162.2312, LogicalClock=12, Info=To=1
[INTERNAL] SystemTime=1741155162.7373, LogicalClock=13, Info=old_clock=12
[INTERNAL] SystemTime=1741155163.2424, LogicalClock=14, Info=old_clock=13
[INTERNAL] SystemTime=1741155163.7438, LogicalClock=15, Info=old_clock=14
[INTERNAL] SystemTime=1741155164.2452, LogicalClock=16, Info=old_clock=15
[SEND] SystemTime=1741155164.7507, LogicalClock=17, Info=To=1
[SEND] SystemTime=1741155165.2552, LogicalClock=18, Info=Broadcast to peers [1, 2]
[INTERNAL] SystemTime=1741155165.7609, LogicalClock=19, Info=old_clock=18
[INTERNAL] SystemTime=1741155166.2666, LogicalClock=20, Info=old_clock=19
[SEND] SystemTime=1741155166.7689, LogicalClock=21, Info=To=1
[INTERNAL] SystemTime=1741155167.2748, LogicalClock=22, Info=old_clock=21
[INTERNAL] SystemTime=1741155167.7811, LogicalClock=23, Info=old_clock=22
[INTERNAL] SystemTime=1741155168.2875, LogicalClock=24, Info=old_clock=23
[INTERNAL] SystemTime=1741155168.7905, LogicalClock=25, Info=old_clock=24
[INTERNAL] SystemTime=1741155169.2961, LogicalClock=26, Info=old_clock=25
[INTERNAL] SystemTime=1741155169.8023, LogicalClock=27, Info=old_clock=26
[INTERNAL] SystemTime=1741155170.3053, LogicalClock=28, Info=old_clock=27
[INTERNAL] SystemTime=1741155170.8100, LogicalClock=29, Info=old_clock=28
[INTERNAL] SystemTime=1741155171.3118, LogicalClock=30, Info=old_clock=29
[INTERNAL] SystemTime=1741155171.8184, LogicalClock=31, Info=old_clock=30
[INTERNAL] SystemTime=1741155172.3245, LogicalClock=32, Info=old_clock=31
[INTERNAL] SystemTime=1741155172.8313, LogicalClock=33, Info=old_clock=32
[INTERNAL] SystemTime=1741155173.3373, LogicalClock=34, Info=old_clock=33
[INTERNAL] SystemTime=1741155173.8416, LogicalClock=35, Info=old_clock=34
[INTERNAL] SystemTime=1741155174.3448, LogicalClock=36, Info=old_clock=35
[INTERNAL] SystemTime=1741155174.8469, LogicalClock=37, Info=old_clock=36
[INTERNAL] SystemTime=1741155175.3522, LogicalClock=38, Info=old_clock=37
[INTERNAL] SystemTime=1741155175.8577, LogicalClock=39, Info=old_clock=38
[INTERNAL] SystemTime=1741155176.3624, LogicalClock=40, Info=old_clock=39
[INTERNAL] SystemTime=1741155176.8633, LogicalClock=41, Info=old_clock=40
[INTERNAL] SystemTime=1741155177.3692, LogicalClock=42, Info=old_clock=41
[INTERNAL] SystemTime=1741155177.8750, LogicalClock=43, Info=old_clock=42
[INTERNAL] SystemTime=1741155178.3778, LogicalClock=44, Info=old_clock=43
[INTERNAL] SystemTime=1741155178.8810, LogicalClock=45, Info=old_clock=44
[INTERNAL] SystemTime=1741155179.3865, LogicalClock=46, Info=old_clock=45
[INTERNAL] SystemTime=1741155179.8918, LogicalClock=47, Info=old_clock=46
[INTERNAL] SystemTime=1741155180.3957, LogicalClock=48, Info=old_clock=47
