Max internal event=4
Max clock speed=6
Machine 2 initialized. Clock rate=2
[SEND] SystemTime=1741155779.4025, LogicalClock=1, Info=To=3
[RECEIVE] SystemTime=1741155803.1168, LogicalClock=75, Info=From=3, SenderClock=74, QueueSizeAfter=38, OldLocalClock=74
[RECEIVE] SystemTime=1741155803.6228, LogicalClock=76, Info=From=3, SenderClock=75, QueueSizeAfter=37, OldLocalClock=75
[RECEIVE] SystemTime=1741155804.1282, LogicalClock=77, Info=From=1, SenderClock=75, QueueSizeAfter=37, OldLocalClock=76
[RECEIVE] SystemTime=1741155804.6341, LogicalClock=79, Info=From=3, SenderClock=78, QueueSizeAfter=36, OldLocalClock=77
[RECEIVE] SystemTime=1741155805.1398, LogicalClock=83, Info=From=1, SenderClock=82, QueueSizeAfter=37, OldLocalClock=79
[RECEIVE] SystemTime=1741155805.6450, LogicalClock=84, Info=From=1, SenderClock=83, QueueSizeAfter=37, OldLocalClock=83
[RECEIVE] SystemTime=1741155806.1469, LogicalClock=90, Info=From=3, SenderClock=89, QueueSizeAfter=38, OldLocalClock=84
[RECEIVE] SystemTime=1741155806.6522, LogicalClock=91, Info=From=1, SenderClock=90, QueueSizeAfter=39, OldLocalClock=90
[RECEIVE] SystemTime=1741155807.1574, LogicalClock=92, Info=From=1, SenderClock=91, QueueSizeAfter=40, OldLocalClock=91
[RECEIVE] SystemTime=1741155807.6616, LogicalClock=95, Info=From=3, SenderClock=94, QueueSizeAfter=42, OldLocalClock=92
[RECEIVE] SystemTime=1741155808.1627, LogicalClock=99, Info=From=3, SenderClock=98, QueueSizeAfter=43, OldLocalClock=95
[RECEIVE] SystemTime=1741155808.6689, LogicalClock=101, Info=From=3, SenderClock=100, QueueSizeAfter=43, OldLocalClock=99
[RECEIVE] SystemTime=1741155809.1748, LogicalClock=103, Info=From=3, SenderClock=102, QueueSizeAfter=43, OldLocalClock=101
[RECEIVE] SystemTime=1741155809.6772, LogicalClock=104, Info=From=3, SenderClock=103, QueueSizeAfter=43, OldLocalClock=103
[RECEIVE] SystemTime=1741155810.1824, LogicalClock=105, Info=From=1, SenderClock=103, QueueSizeAfter=46, OldLocalClock=104
[RECEIVE] SystemTime=1741155810.6886, LogicalClock=106, Info=From=1, SenderClock=104, QueueSizeAfter=47, OldLocalClock=105
[RECEIVE] SystemTime=1741155811.1911, LogicalClock=109, Info=From=3, SenderClock=108, QueueSizeAfter=48, OldLocalClock=106
[RECEIVE] SystemTime=1741155811.6939, LogicalClock=110, Info=From=3, SenderClock=109, QueueSizeAfter=48, OldLocalClock=109
[RECEIVE] SystemTime=1741155812.1980, LogicalClock=112, Info=From=3, SenderClock=111, QueueSizeAfter=50, OldLocalClock=110
[RECEIVE] SystemTime=1741155812.7027, LogicalClock=113, Info=From=3, SenderClock=112, QueueSizeAfter=51, OldLocalClock=112
[RECEIVE] SystemTime=1741155813.2076, LogicalClock=115, Info=From=3, SenderClock=114, QueueSizeAfter=53, OldLocalClock=113
[RECEIVE] SystemTime=1741155813.7108, LogicalClock=117, Info=From=3, SenderClock=116, QueueSizeAfter=54, OldLocalClock=115
[RECEIVE] SystemTime=1741155814.2172, LogicalClock=118, Info=From=1, SenderClock=116, QueueSizeAfter=56, OldLocalClock=117
[RECEIVE] SystemTime=1741155814.7229, LogicalClock=119, Info=From=1, SenderClock=117, QueueSizeAfter=56, OldLocalClock=118
[RECEIVE] SystemTime=1741155815.2273, LogicalClock=120, Info=From=3, SenderClock=118, QueueSizeAfter=55, OldLocalClock=119
[RECEIVE] SystemTime=1741155815.7337, LogicalClock=123, Info=From=3, SenderClock=122, QueueSizeAfter=55, OldLocalClock=120
[RECEIVE] SystemTime=1741155816.2366, LogicalClock=124, Info=From=3, SenderClock=123, QueueSizeAfter=55, OldLocalClock=123
[RECEIVE] SystemTime=1741155816.7426, LogicalClock=125, Info=From=3, SenderClock=124, QueueSizeAfter=57, OldLocalClock=124
[RECEIVE] SystemTime=1741155817.2472, LogicalClock=126, Info=From=3, SenderClock=125, QueueSizeAfter=59, OldLocalClock=125
[RECEIVE] SystemTime=1741155817.7535, LogicalClock=127, Info=From=3, SenderClock=126, QueueSizeAfter=60, OldLocalClock=126
[RECEIVE] SystemTime=1741155818.2598, LogicalClock=128, Info=From=3, SenderClock=127, QueueSizeAfter=62, OldLocalClock=127
[RECEIVE] SystemTime=1741155818.7651, LogicalClock=129, Info=From=3, SenderClock=128, QueueSizeAfter=64, OldLocalClock=128
[RECEIVE] SystemTime=1741155819.2716, LogicalClock=130, Info=From=3, SenderClock=129, QueueSizeAfter=64, OldLocalClock=129
[RECEIVE] SystemTime=1741155819.7730, LogicalClock=133, Info=From=3, SenderClock=132, QueueSizeAfter=64, OldLocalClock=130
[RECEIVE] SystemTime=1741155820.2790, LogicalClock=134, Info=From=1, SenderClock=130, QueueSizeAfter=65, OldLocalClock=133
[RECEIVE] SystemTime=1741155820.7837, LogicalClock=135, Info=From=1, SenderClock=134, QueueSizeAfter=68, OldLocalClock=134
[RECEIVE] SystemTime=1741155821.2899, LogicalClock=136, Info=From=1, SenderClock=135, QueueSizeAfter=71, OldLocalClock=135
[RECEIVE] SystemTime=1741155821.7955, LogicalClock=138, Info=From=3, SenderClock=137, QueueSizeAfter=73, OldLocalClock=136
[RECEIVE] SystemTime=1741155822.2979, LogicalClock=139, Info=From=1, SenderClock=136, QueueSizeAfter=74, OldLocalClock=138
[RECEIVE] SystemTime=1741155822.8039, LogicalClock=143, Info=From=3, SenderClock=142, QueueSizeAfter=75, OldLocalClock=139
[RECEIVE] SystemTime=1741155823.3099, LogicalClock=148, Info=From=1, SenderClock=147, QueueSizeAfter=75, OldLocalClock=143
[RECEIVE] SystemTime=1741155823.8118, LogicalClock=151, Info=From=3, SenderClock=150, QueueSizeAfter=76, OldLocalClock=148
[RECEIVE] SystemTime=1741155824.3180, LogicalClock=152, Info=From=1, SenderClock=151, QueueSizeAfter=76, OldLocalClock=151
[RECEIVE] SystemTime=1741155824.8244, LogicalClock=154, Info=From=3, SenderClock=153, QueueSizeAfter=76, OldLocalClock=152
[RECEIVE] SystemTime=1741155825.3286, LogicalClock=155, Info=From=3, SenderClock=154, QueueSizeAfter=75, OldLocalClock=154
[RECEIVE] SystemTime=1741155825.8349, LogicalClock=157, Info=From=3, SenderClock=156, QueueSizeAfter=76, OldLocalClock=155
[RECEIVE] SystemTime=1741155826.3412, LogicalClock=158, Info=From=1, SenderClock=157, QueueSizeAfter=77, OldLocalClock=157
[RECEIVE] SystemTime=1741155826.8463, LogicalClock=161, Info=From=3, SenderClock=160, QueueSizeAfter=76, OldLocalClock=158
[RECEIVE] SystemTime=1741155827.3525, LogicalClock=162, Info=From=1, SenderClock=159, QueueSizeAfter=76, OldLocalClock=161
