Max internal event=100
Max clock speed=6
Machine 3 initialized. Clock rate=5
[INTERNAL] SystemTime=1741155077.6750, LogicalClock=1, Info=old_clock=0
[INTERNAL] SystemTime=1741155077.8804, LogicalClock=2, Info=old_clock=1
[INTERNAL] SystemTime=1741155078.0853, LogicalClock=3, Info=old_clock=2
[INTERNAL] SystemTime=1741155078.2902, LogicalClock=4, Info=old_clock=3
[INTERNAL] SystemTime=1741155078.4923, LogicalClock=5, Info=old_clock=4
[INTERNAL] SystemTime=1741155078.6964, LogicalClock=6, Info=old_clock=5
[INTERNAL] SystemTime=1741155078.9026, LogicalClock=7, Info=old_clock=6
[INTERNAL] SystemTime=1741155079.1079, LogicalClock=8, Info=old_clock=7
[INTERNAL] SystemTime=1741155079.3118, LogicalClock=9, Info=old_clock=8
[INTERNAL] SystemTime=1741155079.5153, LogicalClock=10, Info=old_clock=9
[INTERNAL] SystemTime=1741155079.7208, LogicalClock=11, Info=old_clock=10
[SEND] SystemTime=1741155079.9263, LogicalClock=12, Info=To=2
[INTERNAL] SystemTime=1741155080.1316, LogicalClock=13, Info=old_clock=12
[INTERNAL] SystemTime=1741155080.3346, LogicalClock=14, Info=old_clock=13
[INTERNAL] SystemTime=1741155080.5403, LogicalClock=15, Info=old_clock=14
[INTERNAL] SystemTime=1741155080.7424, LogicalClock=16, Info=old_clock=15
[INTERNAL] SystemTime=1741155080.9441, LogicalClock=17, Info=old_clock=16
[INTERNAL] SystemTime=1741155081.1500, LogicalClock=18, Info=old_clock=17
[INTERNAL] SystemTime=1741155081.3523, LogicalClock=19, Info=old_clock=18
[SEND] SystemTime=1741155081.5580, LogicalClock=20, Info=To=1
[INTERNAL] SystemTime=1741155081.7641, LogicalClock=21, Info=old_clock=20
[INTERNAL] SystemTime=1741155081.9685, LogicalClock=22, Info=old_clock=21
[INTERNAL] SystemTime=1741155082.1736, LogicalClock=23, Info=old_clock=22
[INTERNAL] SystemTime=1741155082.3755, LogicalClock=24, Info=old_clock=23
[INTERNAL] SystemTime=1741155082.5776, LogicalClock=25, Info=old_clock=24
[INTERNAL] SystemTime=1741155082.7841, LogicalClock=26, Info=old_clock=25
[INTERNAL] SystemTime=1741155082.9902, LogicalClock=27, Info=old_clock=26
[INTERNAL] SystemTime=1741155083.1938, LogicalClock=28, Info=old_clock=27
[INTERNAL] SystemTime=1741155083.3987, LogicalClock=29, Info=old_clock=28
[INTERNAL] SystemTime=1741155083.6043, LogicalClock=30, Info=old_clock=29
