Max internal event=100
Max clock speed=6
Machine 2 initialized. Clock rate=6
[INTERNAL] SystemTime=1741155077.6749, LogicalClock=1, Info=old_clock=0
[INTERNAL] SystemTime=1741155077.8471, LogicalClock=2, Info=old_clock=1
[INTERNAL] SystemTime=1741155078.0186, LogicalClock=3, Info=old_clock=2
[INTERNAL] SystemTime=1741155078.1902, LogicalClock=4, Info=old_clock=3
[INTERNAL] SystemTime=1741155078.3595, LogicalClock=5, Info=old_clock=4
[INTERNAL] SystemTime=1741155078.5321, LogicalClock=6, Info=old_clock=5
[INTERNAL] SystemTime=1741155078.7046, LogicalClock=7, Info=old_clock=6
[INTERNAL] SystemTime=1741155078.8728, LogicalClock=8, Info=old_clock=7
[INTERNAL] SystemTime=1741155079.0456, LogicalClock=9, Info=old_clock=8
[INTERNAL] SystemTime=1741155079.2152, LogicalClock=10, Info=old_clock=9
[INTERNAL] SystemTime=1741155079.3833, LogicalClock=11, Info=old_clock=10
[INTERNAL] SystemTime=1741155079.5562, LogicalClock=12, Info=old_clock=11
[INTERNAL] SystemTime=1741155079.7277, LogicalClock=13, Info=old_clock=12
[INTERNAL] SystemTime=1741155079.9040, LogicalClock=14, Info=old_clock=13
[RECEIVE] SystemTime=1741155080.0780, LogicalClock=15, Info=From=3, SenderClock=11, QueueSizeAfter=0, OldLocalClock=14
[INTERNAL] SystemTime=1741155080.2486, LogicalClock=16, Info=old_clock=15
[INTERNAL] SystemTime=1741155080.4198, LogicalClock=17, Info=old_clock=16
[INTERNAL] SystemTime=1741155080.5920, LogicalClock=18, Info=old_clock=17
[INTERNAL] SystemTime=1741155080.7634, LogicalClock=19, Info=old_clock=18
[INTERNAL] SystemTime=1741155080.9358, LogicalClock=20, Info=old_clock=19
[INTERNAL] SystemTime=1741155081.1078, LogicalClock=21, Info=old_clock=20
[INTERNAL] SystemTime=1741155081.2778, LogicalClock=22, Info=old_clock=21
[INTERNAL] SystemTime=1741155081.4505, LogicalClock=23, Info=old_clock=22
[INTERNAL] SystemTime=1741155081.6189, LogicalClock=24, Info=old_clock=23
[INTERNAL] SystemTime=1741155081.7902, LogicalClock=25, Info=old_clock=24
[INTERNAL] SystemTime=1741155081.9589, LogicalClock=26, Info=old_clock=25
[INTERNAL] SystemTime=1741155082.1298, LogicalClock=27, Info=old_clock=26
[INTERNAL] SystemTime=1741155082.3029, LogicalClock=28, Info=old_clock=27
[INTERNAL] SystemTime=1741155082.4736, LogicalClock=29, Info=old_clock=28
[INTERNAL] SystemTime=1741155082.6433, LogicalClock=30, Info=old_clock=29
[INTERNAL] SystemTime=1741155082.8162, LogicalClock=31, Info=old_clock=30
[INTERNAL] SystemTime=1741155082.9840, LogicalClock=32, Info=old_clock=31
[INTERNAL] SystemTime=1741155083.1567, LogicalClock=33, Info=old_clock=32
[INTERNAL] SystemTime=1741155083.3247, LogicalClock=34, Info=old_clock=33
[INTERNAL] SystemTime=1741155083.4945, LogicalClock=35, Info=old_clock=34
[INTERNAL] SystemTime=1741155083.6675, LogicalClock=36, Info=old_clock=35
[INTERNAL] SystemTime=1741155083.8403, LogicalClock=37, Info=old_clock=36
[INTERNAL] SystemTime=1741155084.0097, LogicalClock=38, Info=old_clock=37
[INTERNAL] SystemTime=1741155084.1801, LogicalClock=39, Info=old_clock=38
[RECEIVE] SystemTime=1741155084.3507, LogicalClock=40, Info=From=1, SenderClock=32, QueueSizeAfter=0, OldLocalClock=39
[INTERNAL] SystemTime=1741155084.5218, LogicalClock=41, Info=old_clock=40
[INTERNAL] SystemTime=1741155084.6925, LogicalClock=42, Info=old_clock=41
[INTERNAL] SystemTime=1741155084.8652, LogicalClock=43, Info=old_clock=42
[INTERNAL] SystemTime=1741155085.0341, LogicalClock=44, Info=old_clock=43
[INTERNAL] SystemTime=1741155085.2063, LogicalClock=45, Info=old_clock=44
[INTERNAL] SystemTime=1741155085.3787, LogicalClock=46, Info=old_clock=45
[INTERNAL] SystemTime=1741155085.5489, LogicalClock=47, Info=old_clock=46
[RECEIVE] SystemTime=1741155085.7190, LogicalClock=48, Info=From=1, SenderClock=39, QueueSizeAfter=0, OldLocalClock=47
[INTERNAL] SystemTime=1741155085.8873, LogicalClock=49, Info=old_clock=48
[INTERNAL] SystemTime=1741155086.0601, LogicalClock=50, Info=old_clock=49
[INTERNAL] SystemTime=1741155086.2304, LogicalClock=51, Info=old_clock=50
[INTERNAL] SystemTime=1741155086.3986, LogicalClock=52, Info=old_clock=51
[INTERNAL] SystemTime=1741155086.5685, LogicalClock=53, Info=old_clock=52
[INTERNAL] SystemTime=1741155086.7404, LogicalClock=54, Info=old_clock=53
[INTERNAL] SystemTime=1741155086.9133, LogicalClock=55, Info=old_clock=54
[INTERNAL] SystemTime=1741155087.0827, LogicalClock=56, Info=old_clock=55
[INTERNAL] SystemTime=1741155087.2553, LogicalClock=57, Info=old_clock=56
[INTERNAL] SystemTime=1741155087.4236, LogicalClock=58, Info=old_clock=57
[INTERNAL] SystemTime=1741155087.5967, LogicalClock=59, Info=old_clock=58
[INTERNAL] SystemTime=1741155087.7667, LogicalClock=60, Info=old_clock=59
[INTERNAL] SystemTime=1741155087.9387, LogicalClock=61, Info=old_clock=60
[INTERNAL] SystemTime=1741155088.1115, LogicalClock=62, Info=old_clock=61
[INTERNAL] SystemTime=1741155088.2800, LogicalClock=63, Info=old_clock=62
[INTERNAL] SystemTime=1741155088.4486, LogicalClock=64, Info=old_clock=63
[INTERNAL] SystemTime=1741155088.6215, LogicalClock=65, Info=old_clock=64
[INTERNAL] SystemTime=1741155088.7933, LogicalClock=66, Info=old_clock=65
[RECEIVE] SystemTime=1741155088.9635, LogicalClock=67, Info=From=1, SenderClock=55, QueueSizeAfter=0, OldLocalClock=66
[INTERNAL] SystemTime=1741155089.1363, LogicalClock=68, Info=old_clock=67
[INTERNAL] SystemTime=1741155089.3052, LogicalClock=69, Info=old_clock=68
[INTERNAL] SystemTime=1741155089.4756, LogicalClock=70, Info=old_clock=69
[INTERNAL] SystemTime=1741155089.6443, LogicalClock=71, Info=old_clock=70
[INTERNAL] SystemTime=1741155089.8173, LogicalClock=72, Info=old_clock=71
[INTERNAL] SystemTime=1741155089.9890, LogicalClock=73, Info=old_clock=72
[INTERNAL] SystemTime=1741155090.1578, LogicalClock=74, Info=old_clock=73
[INTERNAL] SystemTime=1741155090.3267, LogicalClock=75, Info=old_clock=74
[INTERNAL] SystemTime=1741155090.4996, LogicalClock=76, Info=old_clock=75
[INTERNAL] SystemTime=1741155090.6725, LogicalClock=77, Info=old_clock=76
[INTERNAL] SystemTime=1741155090.8412, LogicalClock=78, Info=old_clock=77
[INTERNAL] SystemTime=1741155091.0122, LogicalClock=79, Info=old_clock=78
[INTERNAL] SystemTime=1741155091.1819, LogicalClock=80, Info=old_clock=79
[INTERNAL] SystemTime=1741155091.3529, LogicalClock=81, Info=old_clock=80
[INTERNAL] SystemTime=1741155091.5252, LogicalClock=82, Info=old_clock=81
[INTERNAL] SystemTime=1741155091.6977, LogicalClock=83, Info=old_clock=82
[INTERNAL] SystemTime=1741155091.8694, LogicalClock=84, Info=old_clock=83
[INTERNAL] SystemTime=1741155092.0423, LogicalClock=85, Info=old_clock=84
[INTERNAL] SystemTime=1741155092.2149, LogicalClock=86, Info=old_clock=85
[INTERNAL] SystemTime=1741155092.3833, LogicalClock=87, Info=old_clock=86
[INTERNAL] SystemTime=1741155092.5558, LogicalClock=88, Info=old_clock=87
[INTERNAL] SystemTime=1741155092.7274, LogicalClock=89, Info=old_clock=88
[INTERNAL] SystemTime=1741155092.8987, LogicalClock=90, Info=old_clock=89
[INTERNAL] SystemTime=1741155093.0691, LogicalClock=91, Info=old_clock=90
[INTERNAL] SystemTime=1741155093.2413, LogicalClock=92, Info=old_clock=91
[SEND] SystemTime=1741155093.4129, LogicalClock=93, Info=Broadcast to peers [1, 3]
[INTERNAL] SystemTime=1741155093.5820, LogicalClock=94, Info=old_clock=93
[INTERNAL] SystemTime=1741155093.7548, LogicalClock=95, Info=old_clock=94
[INTERNAL] SystemTime=1741155093.9226, LogicalClock=96, Info=old_clock=95
[INTERNAL] SystemTime=1741155094.0925, LogicalClock=97, Info=old_clock=96
[INTERNAL] SystemTime=1741155094.2655, LogicalClock=98, Info=old_clock=97
[INTERNAL] SystemTime=1741155094.4384, LogicalClock=99, Info=old_clock=98
[INTERNAL] SystemTime=1741155094.6108, LogicalClock=100, Info=old_clock=99
[INTERNAL] SystemTime=1741155094.7794, LogicalClock=101, Info=old_clock=100
[INTERNAL] SystemTime=1741155094.9519, LogicalClock=102, Info=old_clock=101
[INTERNAL] SystemTime=1741155095.1248, LogicalClock=103, Info=old_clock=102
[INTERNAL] SystemTime=1741155095.2955, LogicalClock=104, Info=old_clock=103
[INTERNAL] SystemTime=1741155095.4655, LogicalClock=105, Info=old_clock=104
[INTERNAL] SystemTime=1741155095.6372, LogicalClock=106, Info=old_clock=105
[INTERNAL] SystemTime=1741155095.8071, LogicalClock=107, Info=old_clock=106
[INTERNAL] SystemTime=1741155095.9800, LogicalClock=108, Info=old_clock=107
[INTERNAL] SystemTime=1741155096.1487, LogicalClock=109, Info=old_clock=108
[INTERNAL] SystemTime=1741155096.3217, LogicalClock=110, Info=old_clock=109
