Max internal event=100
Max clock speed=6
Machine 1 initialized. Clock rate=5
[INTERNAL] SystemTime=1741155077.6749, LogicalClock=1, Info=old_clock=0
[INTERNAL] SystemTime=1741155077.8803, LogicalClock=2, Info=old_clock=1
[INTERNAL] SystemTime=1741155078.0854, LogicalClock=3, Info=old_clock=2
[INTERNAL] SystemTime=1741155078.2902, LogicalClock=4, Info=old_clock=3
[INTERNAL] SystemTime=1741155078.4923, LogicalClock=5, Info=old_clock=4
[INTERNAL] SystemTime=1741155078.6985, LogicalClock=6, Info=old_clock=5
[INTERNAL] SystemTime=1741155078.9039, LogicalClock=7, Info=old_clock=6
[INTERNAL] SystemTime=1741155079.1078, LogicalClock=8, Info=old_clock=7
[INTERNAL] SystemTime=1741155079.3122, LogicalClock=9, Info=old_clock=8
[INTERNAL] SystemTime=1741155079.5145, LogicalClock=10, Info=old_clock=9
[INTERNAL] SystemTime=1741155079.7188, LogicalClock=11, Info=old_clock=10
[INTERNAL] SystemTime=1741155079.9215, LogicalClock=12, Info=old_clock=11
[INTERNAL] SystemTime=1741155080.1269, LogicalClock=13, Info=old_clock=12
[INTERNAL] SystemTime=1741155080.3313, LogicalClock=14, Info=old_clock=13
[INTERNAL] SystemTime=1741155080.5362, LogicalClock=15, Info=old_clock=14
[INTERNAL] SystemTime=1741155080.7416, LogicalClock=16, Info=old_clock=15
[INTERNAL] SystemTime=1741155080.9461, LogicalClock=17, Info=old_clock=16
[INTERNAL] SystemTime=1741155081.1500, LogicalClock=18, Info=old_clock=17
[INTERNAL] SystemTime=1741155081.3558, LogicalClock=19, Info=old_clock=18
[RECEIVE] SystemTime=1741155081.5615, LogicalClock=20, Info=From=3, SenderClock=19, QueueSizeAfter=0, OldLocalClock=19
[INTERNAL] SystemTime=1741155081.7652, LogicalClock=21, Info=old_clock=20
[INTERNAL] SystemTime=1741155081.9708, LogicalClock=22, Info=old_clock=21
[INTERNAL] SystemTime=1741155082.1725, LogicalClock=23, Info=old_clock=22
[INTERNAL] SystemTime=1741155082.3756, LogicalClock=24, Info=old_clock=23
[INTERNAL] SystemTime=1741155082.5777, LogicalClock=25, Info=old_clock=24
[INTERNAL] SystemTime=1741155082.7840, LogicalClock=26, Info=old_clock=25
[INTERNAL] SystemTime=1741155082.9902, LogicalClock=27, Info=old_clock=26
[INTERNAL] SystemTime=1741155083.1933, LogicalClock=28, Info=old_clock=27
[INTERNAL] SystemTime=1741155083.3946, LogicalClock=29, Info=old_clock=28
[INTERNAL] SystemTime=1741155083.5987, LogicalClock=30, Info=old_clock=29
[INTERNAL] SystemTime=1741155083.8050, LogicalClock=31, Info=old_clock=30
[INTERNAL] SystemTime=1741155084.0082, LogicalClock=32, Info=old_clock=31
[SEND] SystemTime=1741155084.2124, LogicalClock=33, Info=Broadcast to peers [2, 3]
[INTERNAL] SystemTime=1741155084.4153, LogicalClock=34, Info=old_clock=33
[INTERNAL] SystemTime=1741155084.6188, LogicalClock=35, Info=old_clock=34
[INTERNAL] SystemTime=1741155084.8246, LogicalClock=36, Info=old_clock=35
[INTERNAL] SystemTime=1741155085.0301, LogicalClock=37, Info=old_clock=36
[INTERNAL] SystemTime=1741155085.2345, LogicalClock=38, Info=old_clock=37
[INTERNAL] SystemTime=1741155085.4400, LogicalClock=39, Info=old_clock=38
[SEND] SystemTime=1741155085.6452, LogicalClock=40, Info=Broadcast to peers [2, 3]
