Max internal event=4
Max clock speed=6
Machine 1 initialized. Clock rate=1
[RECEIVE] SystemTime=1741151990.0191, LogicalClock=86, Info=From=3, SenderClock=85, QueueSizeAfter=106, OldLocalClock=85
[RECEIVE] SystemTime=1741151991.0243, LogicalClock=88, Info=From=3, SenderClock=87, QueueSizeAfter=110, OldLocalClock=86
[RECEIVE] SystemTime=1741151992.0261, LogicalClock=90, Info=From=3, SenderClock=89, QueueSizeAfter=113, OldLocalClock=88
[RECEIVE] SystemTime=1741151993.0306, LogicalClock=93, Info=From=3, SenderClock=92, QueueSizeAfter=114, OldLocalClock=90
[RECEIVE] SystemTime=1741151994.0359, LogicalClock=94, Info=From=3, SenderClock=93, QueueSizeAfter=115, OldLocalClock=93
[RECEIVE] SystemTime=1741151995.0412, LogicalClock=95, Info=From=3, SenderClock=94, QueueSizeAfter=119, OldLocalClock=94
[RECEIVE] SystemTime=1741151996.0451, LogicalClock=99, Info=From=3, SenderClock=98, QueueSizeAfter=122, OldLocalClock=95
[RECEIVE] SystemTime=1741151997.0504, LogicalClock=100, Info=From=2, SenderClock=97, QueueSizeAfter=124, OldLocalClock=99
[RECEIVE] SystemTime=1741151998.0519, LogicalClock=101, Info=From=2, SenderClock=98, QueueSizeAfter=129, OldLocalClock=100
[RECEIVE] SystemTime=1741151999.0543, LogicalClock=103, Info=From=3, SenderClock=102, QueueSizeAfter=131, OldLocalClock=101
[RECEIVE] SystemTime=1741152000.0596, LogicalClock=108, Info=From=3, SenderClock=107, QueueSizeAfter=133, OldLocalClock=103
[RECEIVE] SystemTime=1741152001.0648, LogicalClock=109, Info=From=3, SenderClock=108, QueueSizeAfter=135, OldLocalClock=108
[RECEIVE] SystemTime=1741152002.0656, LogicalClock=110, Info=From=3, SenderClock=109, QueueSizeAfter=137, OldLocalClock=109
