Max internal event=100
Max clock speed=6
Machine 3 initialized. Clock rate=4
[INTERNAL] SystemTime=1741152953.9874, LogicalClock=1, Info=old_clock=0
[INTERNAL] SystemTime=1741152954.2427, LogicalClock=2, Info=old_clock=1
[INTERNAL] SystemTime=1741152954.4992, LogicalClock=3, Info=old_clock=2
[INTERNAL] SystemTime=1741152954.7519, LogicalClock=4, Info=old_clock=3
[INTERNAL] SystemTime=1741152955.0067, LogicalClock=5, Info=old_clock=4
[INTERNAL] SystemTime=1741152955.2619, LogicalClock=6, Info=old_clock=5
[INTERNAL] SystemTime=1741152955.5169, LogicalClock=7, Info=old_clock=6
[INTERNAL] SystemTime=1741152955.7675, LogicalClock=8, Info=old_clock=7
[INTERNAL] SystemTime=1741152956.0229, LogicalClock=9, Info=old_clock=8
[INTERNAL] SystemTime=1741152956.2777, LogicalClock=10, Info=old_clock=9
[SEND] SystemTime=1741152956.5324, LogicalClock=11, Info=Broadcast to peers [1, 2]
[INTERNAL] SystemTime=1741152956.7876, LogicalClock=12, Info=old_clock=11
[INTERNAL] SystemTime=1741152957.0407, LogicalClock=13, Info=old_clock=12
[INTERNAL] SystemTime=1741152957.2941, LogicalClock=14, Info=old_clock=13
[INTERNAL] SystemTime=1741152957.5496, LogicalClock=15, Info=old_clock=14
[INTERNAL] SystemTime=1741152957.8021, LogicalClock=16, Info=old_clock=15
[INTERNAL] SystemTime=1741152958.0562, LogicalClock=17, Info=old_clock=16
[INTERNAL] SystemTime=1741152958.3127, LogicalClock=18, Info=old_clock=17
[RECEIVE] SystemTime=1741152958.5685, LogicalClock=19, Info=From=2, SenderClock=17, QueueSizeAfter=0, OldLocalClock=18
[SEND] SystemTime=1741152958.8215, LogicalClock=20, Info=To=2
[INTERNAL] SystemTime=1741152959.0771, LogicalClock=21, Info=old_clock=20
[INTERNAL] SystemTime=1741152959.3322, LogicalClock=22, Info=old_clock=21
[INTERNAL] SystemTime=1741152959.5855, LogicalClock=23, Info=old_clock=22
[INTERNAL] SystemTime=1741152959.8364, LogicalClock=24, Info=old_clock=23
[INTERNAL] SystemTime=1741152960.0874, LogicalClock=25, Info=old_clock=24
[INTERNAL] SystemTime=1741152960.3400, LogicalClock=26, Info=old_clock=25
[INTERNAL] SystemTime=1741152960.5914, LogicalClock=27, Info=old_clock=26
[INTERNAL] SystemTime=1741152960.8469, LogicalClock=28, Info=old_clock=27
[INTERNAL] SystemTime=1741152961.1025, LogicalClock=29, Info=old_clock=28
[INTERNAL] SystemTime=1741152961.3555, LogicalClock=30, Info=old_clock=29
[INTERNAL] SystemTime=1741152961.6084, LogicalClock=31, Info=old_clock=30
[INTERNAL] SystemTime=1741152961.8609, LogicalClock=32, Info=old_clock=31
[INTERNAL] SystemTime=1741152962.1130, LogicalClock=33, Info=old_clock=32
[INTERNAL] SystemTime=1741152962.3677, LogicalClock=34, Info=old_clock=33
